time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.212500,7.212011,7.212500,7.212500,1
5.000000,8.026414,8.034998,7.219996,8.029334,1
10.000000,8.250684,8.261669,7.227308,8.253714,1
15.000000,8.375406,8.378424,7.234439,8.378487,1
20.000000,8.459215,8.476150,7.241394,8.462346,1
25.000000,8.521048,8.522725,7.248180,8.524231,1
30.000000,8.569316,8.570672,7.254800,8.572555,1
35.000000,8.608457,,7.261260,8.611754,0
40.000000,8.641080,,7.267565,8.644437,0
45.000000,8.668841,,7.273719,8.672260,0
50.000000,8.692854,,7.279727,8.696335,0
55.000000,8.713899,,7.285593,8.717442,0
60.000000,8.732544,,7.291322,8.736148,0
65.000000,8.749212,,7.296917,8.752879,0
70.000000,8.764230,,7.302383,8.767958,0
75.000000,8.777850,,7.307723,8.781639,0
80.000000,8.790275,,7.312941,8.794125,0
85.000000,8.801668,,7.318041,8.805577,0
90.000000,8.812160,,7.323026,8.816129,0
95.000000,8.821864,,7.327899,8.825891,0
100.000000,8.830869,,7.332663,8.834954,0
105.000000,8.839254,,7.337323,8.843397,0
110.000000,8.847085,,7.341880,8.851285,0
115.000000,8.854418,,7.346338,8.858674,0
120.000000,8.861302,,7.350699,8.865613,0
125.000000,8.867779,,7.354967,8.872145,0
130.000000,8.873886,,7.359143,8.878306,0
135.000000,8.879655,,7.363230,8.884128,0
140.000000,8.885115,,7.367231,8.889641,0
145.000000,8.890291,,7.371149,8.894870,0
150.000000,8.895206,,7.374984,8.899836,0
155.000000,8.899879,,7.378740,8.904560,0
160.000000,8.904329,,7.382418,8.909061,0
165.000000,8.908571,,7.386022,8.913353,0
170.000000,8.912621,,7.389551,8.917452,0
175.000000,8.916491,,7.393010,8.921371,0
180.000000,8.920194,,7.396399,8.925122,0
185.000000,8.923740,,7.399720,8.928716,0
190.000000,8.927139,,7.402975,8.932163,0
195.000000,8.930401,,7.406166,8.935471,0
200.000000,8.933533,,7.409294,8.938650,0
205.000000,8.936544,,7.412361,8.941706,0
210.000000,8.939439,,7.415368,8.944648,0
215.000000,8.942227,,7.418317,8.947481,0
220.000000,8.944912,,7.421209,8.950211,0
225.000000,8.947501,,7.424046,8.952844,0
230.000000,8.949998,,7.426829,8.955385,0
235.000000,8.952409,,7.429559,8.957838,0
240.000000,8.954737,,7.432238,8.960209,0
245.000000,8.956987,,7.434866,8.962502,0
250.000000,8.959162,,7.437446,8.964719,0
255.000000,8.961266,,7.439977,8.966866,0
260.000000,8.963304,,7.442462,8.968945,0
265.000000,8.965276,,7.444901,8.970958,0
270.000000,8.967188,,7.447295,8.972911,0
275.000000,8.969041,,7.449645,8.974804,0
280.000000,8.970837,,7.451953,8.976641,0
285.000000,8.972581,,7.454219,8.978424,0
290.000000,8.974273,,7.456445,8.980155,0
295.000000,8.975915,,7.458630,8.981837,0
300.000000,8.977511,,7.460777,8.983472,0
305.000000,8.979062,,7.462885,8.985061,0
310.000000,8.980569,,7.464957,8.986607,0
315.000000,8.982035,,7.466991,8.988110,0
320.000000,8.983461,,7.468990,8.989574,0
325.000000,8.984848,,7.470954,8.990998,0
330.000000,8.986198,,7.472884,8.992386,0
335.000000,8.987513,,7.474781,8.993738,0
340.000000,8.988794,,7.476644,8.995055,0
345.000000,8.990041,,7.478476,8.996338,0
350.000000,8.991257,,7.480276,8.997590,0
355.000000,8.992442,,7.482045,8.998811,0
360.000000,8.993597,,7.483785,9.000002,0
365.000000,8.994724,,7.485495,9.001164,0
370.000000,8.995824,,7.487176,9.002299,0
375.000000,8.996896,,7.488828,9.003406,0
380.000000,8.997943,,7.490453,9.004488,0
385.000000,8.998965,,7.492051,9.005544,0
390.000000,8.999963,,7.493623,9.006576,0
395.000000,9.000938,,7.495168,9.007585,0
400.000000,9.001890,,7.496687,9.008570,0
