time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.274154,7.303760,7.274154,7.274154,1
5.000000,8.044872,8.049803,7.782415,8.044531,1
10.000000,8.262294,8.259648,7.991868,8.260524,1
15.000000,8.383849,8.376609,8.118938,8.380794,1
20.000000,8.465751,8.447099,8.208248,8.461527,1
25.000000,8.526277,8.514461,8.276110,8.520975,1
30.000000,8.573581,8.551575,8.330247,8.567272,1
35.000000,8.611970,,8.374904,8.604714,0
40.000000,8.643985,,8.412651,8.635831,0
45.000000,8.671240,,8.445157,8.662231,0
50.000000,8.694820,,8.473566,8.684994,0
55.000000,8.715489,,8.498693,8.704878,0
60.000000,8.733801,,8.521136,8.722435,0
65.000000,8.750172,,8.541349,8.738078,0
70.000000,8.764920,,8.559685,8.752123,0
75.000000,8.778294,,8.576418,8.764816,0
80.000000,8.790492,,8.591772,8.776354,0
85.000000,8.801674,,8.605926,8.786894,0
90.000000,8.811970,,8.619029,8.796566,0
95.000000,8.821488,,8.631204,8.805477,0
100.000000,8.830320,,8.642554,8.813716,0
105.000000,8.838540,,8.653168,8.821359,0
110.000000,8.846214,,8.663121,8.828469,0
115.000000,8.853398,,8.672478,8.835101,0
120.000000,8.860139,,8.681294,8.841302,0
125.000000,8.866479,,8.689618,8.847114,0
130.000000,8.872454,,8.697494,8.852572,0
135.000000,8.878096,,8.704958,8.857708,0
140.000000,8.883433,,8.712044,8.862548,0
145.000000,8.888491,,8.718783,8.867118,0
150.000000,8.893291,,8.725199,8.871439,0
155.000000,8.897852,,8.731318,8.875531,0
160.000000,8.902194,,8.737160,8.879410,0
165.000000,8.906331,,8.742744,8.883093,0
170.000000,8.910278,,8.748088,8.886594,0
175.000000,8.914048,,8.753208,8.889925,0
180.000000,8.917653,,8.758118,8.893098,0
185.000000,8.921103,,8.762831,8.896123,0
190.000000,8.924409,,8.767360,8.899011,0
195.000000,8.927579,,8.771714,8.901768,0
200.000000,8.930622,,8.775905,8.904405,0
205.000000,8.933545,,8.779941,8.906928,0
210.000000,8.936355,,8.783831,8.909343,0
215.000000,8.939058,,8.787583,8.911657,0
220.000000,8.941661,,8.791204,8.913876,0
225.000000,8.944169,,8.794701,8.916005,0
230.000000,8.946586,,8.798081,8.918049,0
235.000000,8.948918,,8.801349,8.920012,0
240.000000,8.951169,,8.804510,8.921899,0
245.000000,8.953342,,8.807571,8.923714,0
250.000000,8.955443,,8.810535,8.925460,0
255.000000,8.957474,,8.813407,8.927141,0
260.000000,8.959438,,8.816191,8.928760,0
265.000000,8.961340,,8.818892,8.930320,0
270.000000,8.963181,,8.821512,8.931824,0
275.000000,8.964964,,8.824056,8.933274,0
280.000000,8.966692,,8.826526,8.934673,0
285.000000,8.968368,,8.828925,8.936023,0
290.000000,8.969993,,8.831258,8.937327,0
295.000000,8.971570,,8.833525,8.938586,0
300.000000,8.973101,,8.835731,8.939803,0
305.000000,8.974587,,8.837876,8.940979,0
310.000000,8.976031,,8.839964,8.942115,0
315.000000,8.977434,,8.841997,8.943215,0
320.000000,8.978798,,8.843977,8.944278,0
325.000000,8.980124,,8.845906,8.945308,0
330.000000,8.981413,,8.847785,8.946304,0
335.000000,8.982668,,8.849617,8.947268,0
340.000000,8.983890,,8.851403,8.948202,0
345.000000,8.985079,,8.853145,8.949107,0
350.000000,8.986237,,8.854844,8.949984,0
355.000000,8.987364,,8.856502,8.950833,0
360.000000,8.988463,,8.858120,8.951657,0
365.000000,8.989534,,8.859700,8.952456,0
370.000000,8.990578,,8.861242,8.953230,0
375.000000,8.991595,,8.862749,8.953981,0
380.000000,8.992588,,8.864220,8.954710,0
385.000000,8.993556,,8.865658,8.955417,0
390.000000,8.994501,,8.867063,8.956103,0
395.000000,8.995423,,8.868437,8.956770,0
400.000000,8.996323,,8.869780,8.957417,0
405.000000,8.997201,,8.871093,8.958045,0
410.000000,8.998059,,8.872377,8.958655,0
415.000000,8.998897,,8.873633,8.959247,0
420.000000,8.999715,,8.874862,8.959823,0
425.000000,9.000515,,8.876065,8.960382,0
430.000000,9.001296,,8.877242,8.960926,0
435.000000,9.002060,,8.878394,8.961454,0
