time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.787597,6.778299,6.787597,6.787597,1
5.000000,8.035063,8.050582,7.790508,8.036164,1
10.000000,8.284972,8.295795,8.065387,8.286045,1
15.000000,8.416090,8.435386,8.211659,8.417176,1
20.000000,8.502166,8.508163,8.308471,8.503278,1
25.000000,8.564895,8.580605,8.379455,8.566040,1
30.000000,8.613509,8.607956,8.434732,8.614688,1
35.000000,8.652749,,8.479527,8.653965,0
40.000000,8.685358,,8.516875,8.686610,0
45.000000,8.713054,,8.548685,8.714341,0
50.000000,8.736980,,8.576233,8.738304,0
55.000000,8.757935,,8.600410,8.759293,0
60.000000,8.776492,,8.621862,8.777885,0
65.000000,8.793082,,8.641070,8.794509,0
70.000000,8.808031,,8.658403,8.809492,0
75.000000,8.821594,,8.674149,8.823087,0
80.000000,8.833972,,8.688536,8.835498,0
85.000000,8.845328,,8.701748,8.846885,0
90.000000,8.855795,,8.713936,8.857383,0
95.000000,8.865481,,8.725224,8.867100,0
100.000000,8.874479,,8.735717,8.876127,0
105.000000,8.882865,,8.745501,8.884542,0
110.000000,8.890704,,8.754652,8.892410,0
115.000000,8.898052,,8.763233,8.899786,0
120.000000,8.904957,,8.771300,8.906719,0
125.000000,8.911462,,8.778901,8.913251,0
130.000000,8.917601,,8.786077,8.919417,0
135.000000,8.923409,,8.792864,8.925250,0
140.000000,8.928911,,8.799297,8.930779,0
145.000000,8.934134,,8.805402,8.936027,0
150.000000,8.939100,,8.811206,8.941017,0
155.000000,8.943827,,8.816731,8.945769,0
160.000000,8.948335,,8.821999,8.950301,0
165.000000,8.952639,,8.827026,8.954628,0
170.000000,8.956752,,8.831831,8.958765,0
175.000000,8.960689,,8.836428,8.962725,0
180.000000,8.964461,,8.840830,8.966519,0
185.000000,8.968079,,8.845050,8.970158,0
190.000000,8.971552,,8.849100,8.973653,0
195.000000,8.974889,,8.852990,8.977012,0
200.000000,8.978099,,8.856729,8.980243,0
205.000000,8.981188,,8.860326,8.983354,0
210.000000,8.984165,,8.863789,8.986351,0
215.000000,8.987035,,8.867126,8.989241,0
220.000000,8.989804,,8.870344,8.992030,0
225.000000,8.992478,,8.873448,8.994724,0
230.000000,8.995061,,8.876445,8.997327,0
235.000000,8.997559,,8.879340,8.999844,0
240.000000,8.999976,,8.882139,9.002279,0
245.000000,9.002315,,8.884846,9.004637,0
250.000000,9.004581,,8.887465,9.006922,0
255.000000,9.006776,,8.890001,9.009136,0
260.000000,9.008905,,8.892457,9.011283,0
265.000000,9.010971,,8.894838,9.013366,0
270.000000,9.012976,,8.897146,9.015389,0
275.000000,9.014923,,8.899385,9.017353,0
280.000000,9.016814,,8.901558,9.019262,0
285.000000,9.018652,,8.903667,9.021117,0
290.000000,9.020440,,8.905716,9.022922,0
295.000000,9.022179,,8.907707,9.024677,0
300.000000,9.023871,,8.909641,9.026386,0
305.000000,9.025519,,8.911523,9.028050,0
310.000000,9.027124,,8.913352,9.029671,0
315.000000,9.028687,,8.915133,9.031250,0
320.000000,9.030211,,8.916866,9.032790,0
325.000000,9.031697,,8.918553,9.034291,0
330.000000,9.033146,,8.920196,9.035756,0
335.000000,9.034559,,8.921797,9.037185,0
340.000000,9.035939,,8.923356,9.038580,0
345.000000,9.037286,,8.924877,9.039942,0
350.000000,9.038601,,8.926359,9.041272,0
355.000000,9.039885,,8.927805,9.042571,0
360.000000,9.041141,,8.929216,9.043841,0
365.000000,9.042368,,8.930592,9.045083,0
370.000000,9.043567,,8.931935,9.046296,0
375.000000,9.044740,,8.933246,9.047483,0
380.000000,9.045887,,8.934527,9.048645,0
385.000000,9.047009,,8.935777,9.049781,0
390.000000,9.048107,,8.936999,9.050893,0
395.000000,9.049183,,8.938193,9.051982,0
400.000000,9.050235,,8.939359,9.053049,0
405.000000,9.051266,,8.940499,9.054093,0
410.000000,9.052275,,8.941614,9.055116,0
415.000000,9.053264,,8.942704,9.056118,0
420.000000,9.054234,,8.943771,9.057101,0
425.000000,9.055184,,8.944814,9.058064,0
430.000000,9.056115,,8.945834,9.059008,0
435.000000,9.057028,,8.946833,9.059934,0
440.000000,9.057923,,8.947810,9.060843,0
445.000000,9.058802,,8.948767,9.061734,0
450.000000,9.059663,,8.949704,9.062608,0
455.000000,9.060509,,8.950621,9.063466,0
460.000000,9.061339,,8.951519,9.064309,0
465.000000,9.062153,,8.952399,9.065136,0
470.000000,9.062953,,8.953261,9.065948,0
475.000000,9.063738,,8.954105,9.066745,0
480.000000,9.064509,,8.954933,9.067528,0
485.000000,9.065266,,8.955744,9.068298,0
490.000000,9.066010,,8.956539,9.069054,0
495.000000,9.066741,,8.957318,9.069796,0
500.000000,9.067460,,8.958082,9.070527,0
505.000000,9.068166,,8.958831,9.071244,0
510.000000,9.068859,,8.959566,9.071950,0
515.000000,9.069542,,8.960287,9.072644,0
520.000000,9.070212,,8.960994,9.073326,0
525.000000,9.070872,,8.961687,9.073997,0
530.000000,9.071521,,8.962367,9.074657,0
535.000000,9.072159,,8.963035,9.075306,0
540.000000,9.072786,,8.963690,9.075945,0
545.000000,9.073404,,8.964333,9.076574,0
550.000000,9.074011,,8.964964,9.077193,0
555.000000,9.074609,,8.965584,9.077802,0
560.000000,9.075198,,8.966192,9.078402,0
565.000000,9.075777,,8.966789,9.078992,0
570.000000,9.076348,,8.967375,9.079573,0
575.000000,9.076909,,8.967951,9.080145,0
580.000000,9.077462,,8.968517,9.080709,0
585.000000,9.078007,,8.969072,9.081264,0
590.000000,9.078543,,8.969618,9.081811,0
595.000000,9.079071,,8.970154,9.082350,0
600.000000,9.079592,,8.970680,9.082881,0
605.000000,9.080104,,8.971198,9.083404,0
610.000000,9.080609,,8.971706,9.083920,0
615.000000,9.081107,,8.972206,9.084428,0
620.000000,9.081598,,8.972697,9.084929,0
625.000000,9.082081,,8.973179,9.085423,0
630.000000,9.082558,,8.973654,9.085909,0
635.000000,9.083027,,8.974120,9.086389,0
640.000000,9.083491,,8.974578,9.086862,0
645.000000,9.083947,,8.975029,9.087329,0
650.000000,9.084398,,8.975472,9.087789,0
655.000000,9.084842,,8.975908,9.088243,0
660.000000,9.085279,,8.976336,9.088691,0
665.000000,9.085711,,8.976757,9.089133,0
670.000000,9.086137,,8.977172,9.089569,0
675.000000,9.086558,,8.977579,9.089999,0
680.000000,9.086972,,8.977980,9.090423,0
685.000000,9.087381,,8.978374,9.090842,0
690.000000,9.087785,,8.978762,9.091255,0
695.000000,9.088183,,8.979144,9.091663,0
700.000000,9.088576,,8.979519,9.092066,0
705.000000,9.088964,,8.979888,9.092463,0
710.000000,9.089347,,8.980252,9.092856,0
715.000000,9.089725,,8.980610,9.093243,0
720.000000,9.090098,,8.980961,9.093625,0
725.000000,9.090466,,8.981308,9.094003,0
730.000000,9.090830,,8.981649,9.094376,0
735.000000,9.091189,,8.981984,9.094744,0
740.000000,9.091544,,8.982314,9.095108,0
745.000000,9.091894,,8.982639,9.095467,0
750.000000,9.092240,,8.982959,9.095822,0
755.000000,9.092581,,8.983274,9.096173,0
760.000000,9.092918,,8.983584,9.096519,0
765.000000,9.093251,,8.983889,9.096861,0
770.000000,9.093580,,8.984190,9.097199,0
775.000000,9.093906,,8.984486,9.097533,0
780.000000,9.094227,,8.984777,9.097864,0
785.000000,9.094544,,8.985064,9.098190,0
790.000000,9.094858,,8.985347,9.098512,0
795.000000,9.095167,,8.985625,9.098831,0
800.000000,9.095474,,8.985899,9.099146,0
805.000000,9.095776,,8.986169,9.099457,0
810.000000,9.096075,,8.986434,9.099765,0
815.000000,9.096371,,8.986696,9.100069,0
820.000000,9.096663,,8.986954,9.100370,0
825.000000,9.096951,,8.987208,9.100667,0
830.000000,9.097237,,8.987458,9.100961,0
835.000000,9.097519,,8.987704,9.101252,0
840.000000,9.097798,,8.987947,9.101539,0
845.000000,9.098074,,8.988186,9.101824,0
850.000000,9.098346,,8.988422,9.102105,0
855.000000,9.098616,,8.988654,9.102383,0
860.000000,9.098883,,8.988883,9.102658,0
865.000000,9.099146,,8.989108,9.102930,0
870.000000,9.099407,,8.989330,9.103199,0
875.000000,9.099665,,8.989549,9.103465,0
880.000000,9.099920,,8.989765,9.103728,0
885.000000,9.100172,,8.989977,9.103989,0
890.000000,9.100422,,8.990187,9.104247,0
895.000000,9.100668,,8.990393,9.104502,0
900.000000,9.100913,,8.990596,9.104754,0
905.000000,9.101154,,8.990797,9.105004,0
910.000000,9.101393,,8.990994,9.105251,0
915.000000,9.101629,,8.991189,9.105495,0
920.000000,9.101863,,8.991381,9.105737,0
925.000000,9.102095,,8.991570,9.105976,0
930.000000,9.102324,,8.991756,9.106213,0
935.000000,9.102550,,8.991940,9.106448,0
940.000000,9.102774,,8.992121,9.106680,0
945.000000,9.102996,,8.992300,9.106910,0
950.000000,9.103216,,8.992476,9.107137,0
955.000000,9.103433,,8.992650,9.107363,0
960.000000,9.103648,,8.992821,9.107586,0
965.000000,9.103861,,8.992989,9.107806,0
970.000000,9.104072,,8.993156,9.108025,0
975.000000,9.104280,,8.993320,9.108241,0
980.000000,9.104487,,8.993481,9.108455,0
985.000000,9.104691,,8.993641,9.108667,0
990.000000,9.104894,,8.993798,9.108877,0
995.000000,9.105094,,8.993953,9.109085,0
1000.000000,9.105292,,8.994106,9.109291,0
1005.000000,9.105488,,8.994256,9.109495,0
1010.000000,9.105683,,8.994405,9.109697,0
1015.000000,9.105875,,8.994551,9.109897,0
1020.000000,9.106066,,8.994696,9.110096,0
1025.000000,9.106255,,8.994838,9.110292,0
1030.000000,9.106442,,8.994979,9.110486,0
1035.000000,9.106627,,8.995117,9.110679,0
1040.000000,9.106810,,8.995254,9.110869,0
1045.000000,9.106991,,8.995389,9.111058,0
1050.000000,9.107171,,8.995522,9.111246,0
1055.000000,9.107349,,8.995653,9.111431,0
1060.000000,9.107525,,8.995782,9.111615,0
1065.000000,9.107700,,8.995910,9.111797,0
1070.000000,9.107873,,8.996036,9.111977,0
1075.000000,9.108044,,8.996160,9.112156,0
1080.000000,9.108214,,8.996282,9.112333,0
1085.000000,9.108382,,8.996403,9.112508,0
