time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.140114,7.135049,7.140114,7.140114,1
5.000000,7.702932,7.683334,7.145557,7.702606,1
10.000000,7.927037,7.921210,7.150893,7.926975,1
15.000000,8.059836,8.063146,7.156122,8.060061,1
20.000000,8.151875,8.156205,7.161248,8.152379,1
25.000000,8.221108,8.210823,7.166272,8.221877,1
30.000000,8.275888,8.305534,7.171197,8.276910,1
35.000000,8.320754,,7.176025,8.322017,0
40.000000,8.358433,,7.180758,8.359927,0
45.000000,8.390684,,7.185398,8.392401,0
50.000000,8.418708,,7.189946,8.420640,0
55.000000,8.443355,,7.194406,8.445495,0
60.000000,8.465251,,7.198780,8.467592,0
65.000000,8.484867,,7.203068,8.487404,0
70.000000,8.502567,,7.207273,8.505293,0
75.000000,8.518636,,7.211397,8.521547,0
80.000000,8.533304,,7.215442,8.536395,0
85.000000,8.546755,,7.219410,8.550023,0
90.000000,8.559143,,7.223301,8.562583,0
95.000000,8.570595,,7.227119,8.574202,0
100.000000,8.581216,,7.230864,8.584987,0
105.000000,8.591097,,7.234538,8.595029,0
110.000000,8.600314,,7.238144,8.604404,0
115.000000,8.608934,,7.241681,8.613178,0
120.000000,8.617013,,7.245152,8.621409,0
125.000000,8.624601,,7.248559,8.629146,0
130.000000,8.631743,,7.251902,8.636434,0
135.000000,8.638475,,7.255184,8.643310,0
140.000000,8.644833,,7.258405,8.649808,0
145.000000,8.650846,,7.261567,8.655960,0
150.000000,8.656541,,7.264671,8.661791,0
155.000000,8.661941,,7.267718,8.667326,0
160.000000,8.667070,,7.270711,8.672586,0
165.000000,8.671945,,7.273649,8.677591,0
170.000000,8.676584,,7.276534,8.682359,0
175.000000,8.681004,,7.279367,8.686904,0
180.000000,8.685219,,7.282150,8.691243,0
185.000000,8.689242,,7.284882,8.695388,0
190.000000,8.693086,,7.287567,8.699352,0
195.000000,8.696760,,7.290204,8.703145,0
200.000000,8.700275,,7.292794,8.706777,0
205.000000,8.703641,,7.295339,8.710258,0
210.000000,8.706867,,7.297839,8.713597,0
215.000000,8.709959,,7.300296,8.716802,0
220.000000,8.712926,,7.302709,8.719879,0
225.000000,8.715774,,7.305081,8.722836,0
230.000000,8.718510,,7.307412,8.725679,0
235.000000,8.721139,,7.309703,8.728414,0
240.000000,8.723667,,7.311955,8.731047,0
245.000000,8.726099,,7.314168,8.733582,0
250.000000,8.728440,,7.316343,8.736024,0
255.000000,8.730694,,7.318481,8.738378,0
260.000000,8.732865,,7.320583,8.740648,0
265.000000,8.734957,,7.322650,8.742838,0
270.000000,8.736975,,7.324682,8.744952,0
275.000000,8.738920,,7.326680,8.746993,0
280.000000,8.740797,,7.328644,8.748964,0
285.000000,8.742609,,7.330575,8.750869,0
290.000000,8.744359,,7.332475,8.752709,0
295.000000,8.746048,,7.334343,8.754489,0
300.000000,8.747680,,7.336180,8.756210,0
305.000000,8.749258,,7.337986,8.757876,0
310.000000,8.750783,,7.339764,8.759487,0
315.000000,8.752257,,7.341512,8.761047,0
320.000000,8.753683,,7.343231,8.762558,0
325.000000,8.755063,,7.344922,8.764021,0
330.000000,8.756398,,7.346586,8.765438,0
335.000000,8.757690,,7.348223,8.766812,0
340.000000,8.758941,,7.349834,8.768143,0
345.000000,8.760152,,7.351418,8.769434,0
350.000000,8.761326,,7.352977,8.770685,0
355.000000,8.762463,,7.354511,8.771899,0
360.000000,8.763564,,7.356021,8.773077,0
365.000000,8.764632,,7.357507,8.774220,0
370.000000,8.765666,,7.358969,8.775329,0
375.000000,8.766670,,7.360407,8.776405,0
380.000000,8.767642,,7.361823,8.777450,0
385.000000,8.768586,,7.363217,8.778465,0
390.000000,8.769501,,7.364589,8.779451,0
395.000000,8.770389,,7.365939,8.780408,0
400.000000,8.771250,,7.367268,8.781338,0
405.000000,8.772087,,7.368576,8.782242,0
410.000000,8.772898,,7.369863,8.783120,0
415.000000,8.773686,,7.371131,8.783974,0
420.000000,8.774451,,7.372379,8.784804,0
425.000000,8.775193,,7.373608,8.785610,0
430.000000,8.775914,,7.374818,8.786395,0
435.000000,8.776615,,7.376009,8.787158,0
440.000000,8.777295,,7.377182,8.787900,0
445.000000,8.777956,,7.378336,8.788621,0
450.000000,8.778598,,7.379473,8.789324,0
455.000000,8.779222,,7.380593,8.790007,0
460.000000,8.779828,,7.381696,8.790671,0
465.000000,8.780418,,7.382781,8.791318,0
470.000000,8.780990,,7.383851,8.791948,0
475.000000,8.781547,,7.384904,8.792561,0
480.000000,8.782089,,7.385941,8.793157,0
485.000000,8.782615,,7.386962,8.793738,0
490.000000,8.783126,,7.387968,8.794304,0
495.000000,8.783624,,7.388959,8.794854,0
500.000000,8.784108,,7.389935,8.795391,0
505.000000,8.784579,,7.390897,8.795913,0
