sample_id,ml_E0_g_per_L,ml_k_d,fit_E0_g_per_L,fit_k_d,true_E0_g_per_L,true_k_d,ml_E0_g_per_L_mae,ml_k_d_mae,fit_E0_g_per_L_mae,fit_k_d_mae,ml_powder_activity_frac_derived,fit_powder_activity_frac_derived,true_powder_activity_frac_derived,ml_rmse,ml_mae,ml_r2,fit_rmse,fit_mae,fit_r2,true_time_to_thresh,ml_time_to_thresh,fit_time_to_thresh
10,0.38811803248007487,0.0023868182965972235,0.5112405015812487,4.7379999722922015e-09,0.5219865165999579,0.0028319075040352105,0.133868484119883,0.000445089207437987,0.010746015018709199,0.002831902766035238,1.0,1.0,1.0,0.02265457905861424,0.018496509502932093,0.9722806775893298,0.0575709027492023,0.05482948868352578,0.8209902463525758,4.183736869156912,4.54900596286095,4.199040915753839
11,0.5130630813517825,0.0021603588873836494,0.8358424483072031,0.004999991657505624,0.823133612641478,0.004352495010318832,0.31007053128969553,0.0021921361229351828,0.012708835665725116,0.000647496647186792,0.41697412308840187,0.6793017946344738,0.6689731317471964,0.027148443423236825,0.018442789593414586,0.946204160280089,0.009844136803836242,0.009432134917510096,0.992926829876718,3.6829550354785314,4.286040520034519,3.668055032232696
12,0.0005,0.0026244252291188863,0.09210789502995013,0.004616958617575746,0.09228833667555156,0.0049690894341662,0.09178833667555156,0.0023446642050473135,0.00018044164560142295,0.0003521308165904541,0.00022581620336290916,0.041598910310825424,0.04168040360550196,1.356712750751808,1.3533221234682273,-93.89217741651368,0.012657274080221888,0.012158611435385458,0.9917408573407475,12.747115123799084,,12.743528609261285
13,0.1724272182770928,0.002498568312019537,0.3758543250925677,0.0008241282248809398,0.37963614514555943,0.0019030010266178627,0.20720892686846665,0.0005955672854016743,0.0037818200529917134,0.001078872801736923,0.07273237207338598,0.15854095943306037,0.16013618752962894,0.13324741434727724,0.13151245586083327,0.03728901331160961,0.033831493853182557,0.03178082782032674,0.9379387245094198,4.539818275773551,9.211501090645633,4.554644883631189
14,0.0005,0.002610443559912112,0.20332194899086417,9.78231468641295e-17,0.2031831330314139,0.0008398414978892599,0.2026831330314139,0.0017706020620228522,0.00013881595945028358,0.0008398414978891621,0.004270215159568731,1.0,1.0,1.6038275935093573,1.6002091979404698,-103.27929254999803,0.028036024718213058,0.026611658788271274,0.9681348782403589,5.70198429888027,,5.679411538509015
15,0.8529883727888563,0.003765044530377441,0.8358413247267424,0.004999933966935298,0.8357759124245063,0.004519055923622967,0.01721246036434998,0.0007540113932455262,6.541230223611194e-05,0.00048087804331233084,0.37110766626148606,0.3636475399659782,0.36361908118787284,0.0119776035398995,0.011780134543284174,0.9901135267619935,0.006578479691388353,0.0063925011137880815,0.9970176912403582,3.566053551155589,3.5485065987049103,3.56688500639592
16,0.0026356735606964943,0.0026076924126908485,0.1489938378813326,1.877711743077516e-15,0.15180788277043053,0.00207189370997106,0.14917220920973404,0.0005357987027197887,0.002814044889097922,0.002071893709969182,0.007579544261196797,0.42846936954086007,0.43656186555704957,1.0519276466383163,1.0495589061484798,-47.64769819498761,0.09428838386963474,0.08786505869645976,0.6091528575005328,8.375381802185027,,8.447562322393269
17,0.80225520409961,0.0045428163981064045,0.6193179358055826,0.0019662979212268675,0.6233619650231035,0.002261397534285303,0.17889323907650656,0.0022814188638211014,0.004044029217520895,0.00029509961305843567,0.4262265918024559,0.32903466586646224,0.3311832001255426,0.016889958186675477,0.015148202728315683,0.9833215250618939,0.0034710555803401503,0.003295433249514305,0.9992955951725808,3.628681066697408,3.4699011580050914,3.6326342586300697
18,0.2540683702523511,0.0025082627419601455,0.31460239944740054,0.0022664883754674563,0.3162138648628076,0.0023458308585995458,0.06214549461045654,0.00016243188336059972,0.0016114654154070762,7.93424831320895e-05,0.1130964189394586,0.1400426378613056,0.14075996826944065,0.02557858660698601,0.024585246970545656,0.9673112655370598,0.0014453651279570663,0.0013436623861666486,0.9998956241161864,4.312355790464048,4.587480293813363,4.317985255151815
19,0.010458202209690182,0.002591912478120436,0.21271436038190797,0.0040129104089624435,0.21021087407326275,0.002737177295714048,0.19975267186357257,0.00014526481759361172,0.0025034863086452197,0.0012757331132483957,0.022664862094478887,0.46099143494320055,0.4555659162160635,0.6967746101481577,0.6891659755082691,-19.36297362777995,0.03881093504228629,0.03693980842716241,0.936822159536389,6.6741174230671625,150.65133546425383,6.616808127330207
