time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.747427,6.755028,6.747427,6.747427,1
5.000000,8.589462,8.601713,8.676821,8.590844,1
10.000000,8.760560,8.757997,8.830341,8.761439,1
15.000000,8.844068,8.840308,8.903779,8.844623,1
20.000000,8.896048,8.899539,8.948788,8.896359,1
25.000000,8.932304,8.928952,8.979778,8.932418,1
30.000000,8.959355,8.948584,9.002642,8.959303,1
35.000000,8.980463,,9.020306,8.980269,0
40.000000,8.997475,,9.034416,8.997155,0
45.000000,9.011522,,9.045973,9.011091,0
50.000000,9.023346,,9.055629,9.022814,0
55.000000,9.033452,,9.063826,9.032829,0
60.000000,9.042201,,9.070877,9.041494,0
65.000000,9.049856,,9.077009,9.049072,0
70.000000,9.056616,,9.082394,9.055760,0
75.000000,9.062632,,9.087161,9.061709,0
80.000000,9.068023,,9.091411,9.067038,0
85.000000,9.072883,,9.095223,9.071839,0
90.000000,9.077289,,9.098664,9.076190,0
95.000000,9.081302,,9.101783,9.080150,0
100.000000,9.084972,,9.104623,9.083771,0
105.000000,9.088344,,9.107221,9.087094,0
110.000000,9.091450,,9.109605,9.090156,0
115.000000,9.094323,,9.111801,9.092985,0
120.000000,9.096987,,9.113829,9.095608,0
125.000000,9.099465,,9.115708,9.098045,0
130.000000,9.101775,,9.117453,9.100317,0
135.000000,9.103934,,9.119078,9.102438,0
140.000000,9.105955,,9.120594,9.104424,0
145.000000,9.107853,,9.122011,9.106287,0
150.000000,9.109637,,9.123339,9.108038,0
155.000000,9.111317,,9.124585,9.109685,0
160.000000,9.112903,,9.125756,9.111239,0
165.000000,9.114401,,9.126859,9.112707,0
170.000000,9.115819,,9.127899,9.114095,0
175.000000,9.117163,,9.128881,9.115410,0
180.000000,9.118438,,9.129810,9.116657,0
185.000000,9.119650,,9.130689,9.117841,0
190.000000,9.120802,,9.131522,9.118966,0
195.000000,9.121900,,9.132313,9.120038,0
200.000000,9.122946,,9.133064,9.121058,0
205.000000,9.123945,,9.133778,9.122032,0
210.000000,9.124899,,9.134458,9.122961,0
215.000000,9.125811,,9.135106,9.123849,0
220.000000,9.126684,,9.135723,9.124698,0
225.000000,9.127519,,9.136312,9.125510,0
230.000000,9.128321,,9.136874,9.126289,0
235.000000,9.129089,,9.137412,9.127035,0
240.000000,9.129827,,9.137926,9.127751,0
245.000000,9.130536,,9.138418,9.128438,0
250.000000,9.131217,,9.138889,9.129097,0
255.000000,9.131872,,9.139341,9.129732,0
260.000000,9.132503,,9.139773,9.130342,0
265.000000,9.133110,,9.140189,9.130929,0
270.000000,9.133696,,9.140587,9.131494,0
275.000000,9.134260,,9.140970,9.132039,0
280.000000,9.134804,,9.141337,9.132564,0
285.000000,9.135330,,9.141691,9.133070,0
290.000000,9.135837,,9.142031,9.133558,0
295.000000,9.136327,,9.142358,9.134030,0
300.000000,9.136801,,9.142673,9.134485,0
305.000000,9.137259,,9.142976,9.134925,0
310.000000,9.137702,,9.143268,9.135350,0
315.000000,9.138131,,9.143549,9.135761,0
320.000000,9.138546,,9.143820,9.136159,0
325.000000,9.138949,,9.144082,9.136544,0
330.000000,9.139338,,9.144334,9.136916,0
335.000000,9.139716,,9.144578,9.137277,0
340.000000,9.140082,,9.144813,9.137626,0
345.000000,9.140437,,9.145040,9.137965,0
350.000000,9.140782,,9.145260,9.138293,0
355.000000,9.141116,,9.145471,9.138612,0
360.000000,9.141441,,9.145676,9.138921,0
365.000000,9.141756,,9.145874,9.139220,0
370.000000,9.142063,,9.146066,9.139511,0
375.000000,9.142361,,9.146251,9.139793,0
380.000000,9.142650,,9.146430,9.140067,0
385.000000,9.142931,,9.146603,9.140333,0
390.000000,9.143205,,9.146771,9.140592,0
395.000000,9.143471,,9.146934,9.140843,0
400.000000,9.143730,,9.147091,9.141088,0
405.000000,9.143982,,9.147243,9.141325,0
410.000000,9.144227,,9.147391,9.141556,0
415.000000,9.144466,,9.147534,9.141781,0
420.000000,9.144699,,9.147672,9.141999,0
425.000000,9.144926,,9.147807,9.142212,0
430.000000,9.145146,,9.147937,9.142419,0
435.000000,9.145361,,9.148063,9.142620,0
440.000000,9.145571,,9.148185,9.142816,0
445.000000,9.145776,,9.148304,9.143007,0
450.000000,9.145975,,9.148419,9.143193,0
455.000000,9.146169,,9.148531,9.143375,0
460.000000,9.146359,,9.148639,9.143551,0
465.000000,9.146544,,9.148744,9.143723,0
470.000000,9.146725,,9.148847,9.143891,0
475.000000,9.146901,,9.148946,9.144054,0
480.000000,9.147073,,9.149042,9.144214,0
485.000000,9.147241,,9.149135,9.144369,0
490.000000,9.147405,,9.149226,9.144521,0
495.000000,9.147565,,9.149314,9.144669,0
500.000000,9.147721,,9.149400,9.144813,0
505.000000,9.147874,,9.149483,9.144954,0
510.000000,9.148023,,9.149563,9.145091,0
515.000000,9.148169,,9.149642,9.145225,0
520.000000,9.148311,,9.149718,9.145355,0
525.000000,9.148450,,9.149792,9.145483,0
530.000000,9.148586,,9.149864,9.145608,0
535.000000,9.148719,,9.149934,9.145729,0
540.000000,9.148849,,9.150002,9.145848,0
545.000000,9.148977,,9.150068,9.145964,0
550.000000,9.149101,,9.150133,9.146077,0
555.000000,9.149223,,9.150195,9.146188,0
560.000000,9.149342,,9.150256,9.146296,0
565.000000,9.149458,,9.150315,9.146402,0
570.000000,9.149572,,9.150373,9.146505,0
575.000000,9.149683,,9.150429,9.146606,0
580.000000,9.149793,,9.150483,9.146704,0
585.000000,9.149899,,9.150536,9.146801,0
590.000000,9.150004,,9.150587,9.146895,0
595.000000,9.150106,,9.150637,9.146987,0
