time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.979248,6.975495,6.979248,6.979248,1
5.000000,8.600182,8.584149,8.621047,8.601329,1
10.000000,8.765889,8.781472,8.782412,8.766159,1
15.000000,8.847311,8.847911,8.861201,8.846963,1
20.000000,8.898141,8.899597,8.910145,8.897304,1
25.000000,8.933653,8.931651,8.944195,8.932409,1
30.000000,8.960175,8.931375,8.969531,8.958581,1
35.000000,8.980886,,8.989247,8.978983,0
40.000000,8.997583,,9.005094,8.995405,0
45.000000,9.011375,,9.018145,9.008948,0
50.000000,9.022986,,9.029101,9.020332,0
55.000000,9.032911,,9.038442,9.030048,0
60.000000,9.041503,,9.046509,9.038447,0
65.000000,9.049021,,9.053550,9.045785,0
70.000000,9.055658,,9.059752,9.052253,0
75.000000,9.061565,,9.065258,9.058001,0
80.000000,9.066857,,9.070181,9.063143,0
85.000000,9.071627,,9.074609,9.067771,0
90.000000,9.075950,,9.078613,9.071959,0
95.000000,9.079886,,9.082251,9.075767,0
100.000000,9.083486,,9.085571,9.079243,0
105.000000,9.086790,,9.088613,9.082430,0
110.000000,9.089835,,9.091409,9.085361,0
115.000000,9.092650,,9.093989,9.088066,0
120.000000,9.095259,,9.096376,9.090569,0
125.000000,9.097684,,9.098590,9.092893,0
130.000000,9.099944,,9.100649,9.095054,0
135.000000,9.102056,,9.102568,9.097070,0
140.000000,9.104032,,9.104361,9.098954,0
145.000000,9.105886,,9.106040,9.100718,0
150.000000,9.107629,,9.107614,9.102372,0
155.000000,9.109269,,9.109093,9.103927,0
160.000000,9.110816,,9.110485,9.105391,0
165.000000,9.112277,,9.111796,9.106771,0
170.000000,9.113659,,9.113034,9.108073,0
175.000000,9.114968,,9.114204,9.109304,0
180.000000,9.116210,,9.115311,9.110470,0
185.000000,9.117389,,9.116360,9.111574,0
190.000000,9.118510,,9.117355,9.112622,0
195.000000,9.119577,,9.118299,9.113617,0
200.000000,9.120593,,9.119197,9.114564,0
205.000000,9.121562,,9.120051,9.115464,0
210.000000,9.122487,,9.120865,9.116321,0
215.000000,9.123371,,9.121641,9.117139,0
220.000000,9.124217,,9.122380,9.117919,0
225.000000,9.125026,,9.123087,9.118664,0
230.000000,9.125801,,9.123762,9.119376,0
235.000000,9.126544,,9.124407,9.120056,0
240.000000,9.127256,,9.125024,9.120707,0
245.000000,9.127940,,9.125615,9.121331,0
250.000000,9.128597,,9.126181,9.121928,0
255.000000,9.129229,,9.126724,9.122501,0
260.000000,9.129836,,9.127245,9.123051,0
265.000000,9.130420,,9.127744,9.123578,0
270.000000,9.130983,,9.128224,9.124085,0
275.000000,9.131525,,9.128685,9.124571,0
280.000000,9.132047,,9.129128,9.125039,0
285.000000,9.132551,,9.129554,9.125489,0
290.000000,9.133037,,9.129964,9.125922,0
295.000000,9.133506,,9.130358,9.126338,0
300.000000,9.133959,,9.130738,9.126739,0
305.000000,9.134397,,9.131103,9.127126,0
310.000000,9.134820,,9.131456,9.127498,0
315.000000,9.135229,,9.131796,9.127857,0
320.000000,9.135624,,9.132123,9.128203,0
325.000000,9.136007,,9.132439,9.128537,0
330.000000,9.136378,,9.132744,9.128860,0
335.000000,9.136737,,9.133039,9.129171,0
340.000000,9.137084,,9.133323,9.129471,0
345.000000,9.137421,,9.133597,9.129762,0
350.000000,9.137747,,9.133863,9.130042,0
355.000000,9.138064,,9.134119,9.130313,0
360.000000,9.138370,,9.134367,9.130575,0
365.000000,9.138668,,9.134606,9.130828,0
370.000000,9.138957,,9.134838,9.131073,0
375.000000,9.139238,,9.135062,9.131310,0
