time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.154324,7.148069,7.154324,7.154324,1
5.000000,8.206639,8.206660,8.075512,8.203604,1
10.000000,8.421839,8.438218,8.299843,8.420368,1
15.000000,8.536696,8.532358,8.422308,8.536541,1
20.000000,8.612312,8.605263,8.503933,8.613299,1
25.000000,8.667367,8.659841,8.563869,8.669371,1
30.000000,8.709931,8.692511,8.610510,8.712860,1
35.000000,8.744186,,8.648245,8.747966,0
40.000000,8.772557,,8.679641,8.777128,0
45.000000,8.796571,,8.706319,8.801882,0
50.000000,8.817245,,8.729367,8.823253,0
55.000000,8.835288,,8.749546,8.841955,0
60.000000,8.851213,,8.767406,8.858504,0
65.000000,8.865401,,8.783360,8.873287,0
70.000000,8.878142,,8.797724,8.886596,0
75.000000,8.889664,,8.810741,8.898662,0
80.000000,8.900146,,8.822609,8.909665,0
85.000000,8.909731,,8.833484,8.919751,0
90.000000,8.918539,,8.843494,8.929041,0
95.000000,8.926665,,8.852746,8.937632,0
100.000000,8.934191,,8.861328,8.945606,0
105.000000,8.941185,,8.869316,8.953033,0
110.000000,8.947703,,8.876772,8.959971,0
115.000000,8.953797,,8.883751,8.966471,0
120.000000,8.959507,,8.890300,8.972575,0
125.000000,8.964871,,8.896460,8.978322,0
130.000000,8.969921,,8.902265,8.983743,0
135.000000,8.974685,,8.907748,8.988868,0
140.000000,8.979187,,8.912935,8.993721,0
145.000000,8.983450,,8.917850,8.998326,0
150.000000,8.987493,,8.922516,9.002702,0
155.000000,8.991332,,8.926951,9.006866,0
160.000000,8.994984,,8.931173,9.010835,0
165.000000,8.998462,,8.935197,9.014622,0
170.000000,9.001779,,8.939038,9.018242,0
175.000000,9.004946,,8.942707,9.021704,0
180.000000,9.007974,,8.946217,9.025020,0
185.000000,9.010871,,8.949577,9.028199,0
190.000000,9.013646,,8.952798,9.031250,0
195.000000,9.016307,,8.955888,9.034182,0
200.000000,9.018860,,8.958854,9.037000,0
205.000000,9.021313,,8.961705,9.039713,0
210.000000,9.023671,,8.964447,9.042325,0
215.000000,9.025940,,8.967086,9.044844,0
220.000000,9.028125,,8.969627,9.047273,0
225.000000,9.030230,,8.972077,9.049618,0
230.000000,9.032260,,8.974440,9.051884,0
235.000000,9.034218,,8.976721,9.054074,0
240.000000,9.036109,,8.978923,9.056193,0
245.000000,9.037936,,8.981051,9.058244,0
250.000000,9.039702,,8.983109,9.060230,0
255.000000,9.041411,,8.985099,9.062154,0
260.000000,9.043064,,8.987025,9.064020,0
265.000000,9.044665,,8.988891,9.065830,0
270.000000,9.046216,,8.990698,9.067587,0
275.000000,9.047719,,8.992450,9.069293,0
280.000000,9.049177,,8.994149,9.070950,0
285.000000,9.050591,,8.995797,9.072561,0
290.000000,9.051964,,8.997396,9.074128,0
295.000000,9.053297,,8.998949,9.075652,0
300.000000,9.054592,,9.000458,9.077135,0
305.000000,9.055850,,9.001923,9.078578,0
310.000000,9.057074,,9.003348,9.079985,0
315.000000,9.058264,,9.004734,9.081355,0
320.000000,9.059421,,9.006081,9.082690,0
325.000000,9.060548,,9.007393,9.083993,0
330.000000,9.061645,,9.008669,9.085263,0
335.000000,9.062714,,9.009912,9.086502,0
340.000000,9.063754,,9.011123,9.087712,0
345.000000,9.064769,,9.012302,9.088893,0
350.000000,9.065758,,9.013451,9.090046,0
355.000000,9.066722,,9.014572,9.091173,0
360.000000,9.067663,,9.015664,9.092274,0
365.000000,9.068581,,9.016730,9.093351,0
370.000000,9.069476,,9.017769,9.094403,0
375.000000,9.070351,,9.018784,9.095433,0
380.000000,9.071205,,9.019774,9.096440,0
385.000000,9.072039,,9.020740,9.097425,0
390.000000,9.072854,,9.021684,9.098390,0
395.000000,9.073650,,9.022606,9.099335,0
400.000000,9.074428,,9.023507,9.100259,0
405.000000,9.075189,,9.024387,9.101165,0
410.000000,9.075933,,9.025248,9.102053,0
415.000000,9.076661,,9.026089,9.102923,0
420.000000,9.077373,,9.026911,9.103775,0
425.000000,9.078070,,9.027715,9.104611,0
430.000000,9.078752,,9.028502,9.105431,0
435.000000,9.079419,,9.029271,9.106234,0
440.000000,9.080073,,9.030024,9.107023,0
445.000000,9.080713,,9.030761,9.107797,0
450.000000,9.081340,,9.031482,9.108556,0
455.000000,9.081954,,9.032188,9.109301,0
460.000000,9.082555,,9.032880,9.110033,0
465.000000,9.083145,,9.033557,9.110751,0
470.000000,9.083723,,9.034220,9.111457,0
475.000000,9.084290,,9.034870,9.112150,0
480.000000,9.084845,,9.035506,9.112831,0
485.000000,9.085390,,9.036130,9.113500,0
490.000000,9.085924,,9.036741,9.114157,0
495.000000,9.086448,,9.037340,9.114803,0
500.000000,9.086963,,9.037928,9.115439,0
505.000000,9.087467,,9.038503,9.116063,0
510.000000,9.087962,,9.039068,9.116677,0
515.000000,9.088448,,9.039622,9.117281,0
520.000000,9.088926,,9.040165,9.117875,0
525.000000,9.089394,,9.040698,9.118460,0
530.000000,9.089854,,9.041220,9.119035,0
535.000000,9.090306,,9.041733,9.119601,0
540.000000,9.090749,,9.042237,9.120158,0
545.000000,9.091185,,9.042730,9.120706,0
550.000000,9.091613,,9.043215,9.121246,0
555.000000,9.092034,,9.043691,9.121777,0
560.000000,9.092447,,9.044158,9.122301,0
565.000000,9.092853,,9.044617,9.122816,0
570.000000,9.093252,,9.045067,9.123323,0
575.000000,9.093645,,9.045509,9.123823,0
580.000000,9.094031,,9.045944,9.124316,0
585.000000,9.094410,,9.046370,9.124801,0
590.000000,9.094783,,9.046789,9.125280,0
595.000000,9.095150,,9.047201,9.125751,0
600.000000,9.095511,,9.047606,9.126215,0
605.000000,9.095865,,9.048003,9.126673,0
610.000000,9.096215,,9.048394,9.127125,0
615.000000,9.096558,,9.048777,9.127570,0
620.000000,9.096896,,9.049155,9.128009,0
625.000000,9.097228,,9.049525,9.128442,0
630.000000,9.097555,,9.049890,9.128868,0
635.000000,9.097877,,9.050248,9.129289,0
640.000000,9.098194,,9.050600,9.129705,0
