time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.548221,6.557907,6.548221,6.548221,1
5.000000,8.307505,8.303616,8.238079,8.307626,1
10.000000,8.528673,8.521595,8.470731,8.530200,1
15.000000,8.639499,8.647004,8.587675,8.642137,1
20.000000,8.710248,8.709731,8.662583,8.713838,1
25.000000,8.760732,8.757482,8.716202,8.765166,1
30.000000,8.799180,8.761301,8.757153,8.804377,1
35.000000,8.829749,,8.789798,8.835644,0
40.000000,8.854811,,8.816627,8.861351,0
45.000000,8.875835,,8.839186,8.882978,0
50.000000,8.893792,,8.858496,8.901498,0
55.000000,8.909352,,8.875261,8.917588,0
60.000000,8.922995,,8.889990,8.931732,0
65.000000,8.935076,,8.903056,8.944287,0
70.000000,8.945865,,8.914744,8.955527,0
75.000000,8.955569,,8.925275,8.965661,0
80.000000,8.964354,,8.934822,8.974855,0
85.000000,8.972349,,8.943525,8.983244,0
90.000000,8.979663,,8.951497,8.990934,0
95.000000,8.986382,,8.958831,8.998014,0
100.000000,8.992580,,8.965605,9.004560,0
105.000000,8.998317,,8.971883,9.010631,0
110.000000,9.003644,,8.977720,9.016281,0
115.000000,9.008606,,8.983162,9.021555,0
120.000000,9.013240,,8.988251,9.026491,0
125.000000,9.017578,,8.993020,9.031121,0
130.000000,9.021650,,8.997500,9.035475,0
135.000000,9.025478,,9.001717,9.039578,0
140.000000,9.029086,,9.005695,9.043452,0
145.000000,9.032492,,9.009454,9.047116,0
150.000000,9.035712,,9.013011,9.050588,0
155.000000,9.038762,,9.016383,9.053883,0
160.000000,9.041656,,9.019585,9.057015,0
165.000000,9.044405,,9.022629,9.059996,0
170.000000,9.047020,,9.025526,9.062838,0
175.000000,9.049510,,9.028288,9.065549,0
180.000000,9.051885,,9.030924,9.068140,0
185.000000,9.054152,,9.033442,9.070618,0
190.000000,9.056319,,9.035850,9.072991,0
195.000000,9.058392,,9.038155,9.075265,0
200.000000,9.060377,,9.040364,9.077448,0
205.000000,9.062279,,9.042483,9.079543,0
210.000000,9.064105,,9.044517,9.081558,0
215.000000,9.065857,,9.046471,9.083496,0
220.000000,9.067541,,9.048349,9.085362,0
225.000000,9.069160,,9.050156,9.087159,0
230.000000,9.070719,,9.051897,9.088893,0
235.000000,9.072219,,9.053574,9.090566,0
240.000000,9.073666,,9.055191,9.092181,0
245.000000,9.075061,,9.056751,9.093741,0
250.000000,9.076406,,9.058257,9.095250,0
255.000000,9.077706,,9.059711,9.096710,0
260.000000,9.078961,,9.061117,9.098122,0
265.000000,9.080174,,9.062477,9.099491,0
270.000000,9.081348,,9.063792,9.100817,0
275.000000,9.082483,,9.065066,9.102102,0
280.000000,9.083582,,9.066299,9.103349,0
285.000000,9.084647,,9.067494,9.104560,0
290.000000,9.085678,,9.068652,9.105735,0
295.000000,9.086678,,9.069776,9.106877,0
300.000000,9.087648,,9.070866,9.107986,0
305.000000,9.088589,,9.071924,9.109065,0
310.000000,9.089503,,9.072951,9.110114,0
315.000000,9.090390,,9.073949,9.111135,0
320.000000,9.091252,,9.074919,9.112129,0
325.000000,9.092089,,9.075861,9.113096,0
330.000000,9.092903,,9.076778,9.114039,0
335.000000,9.093695,,9.077670,9.114958,0
340.000000,9.094465,,9.078537,9.115854,0
345.000000,9.095214,,9.079382,9.116727,0
350.000000,9.095943,,9.080204,9.117579,0
355.000000,9.096654,,9.081005,9.118411,0
360.000000,9.097345,,9.081786,9.119222,0
365.000000,9.098019,,9.082546,9.120015,0
370.000000,9.098676,,9.083288,9.120789,0
375.000000,9.099317,,9.084011,9.121545,0
380.000000,9.099941,,9.084716,9.122284,0
385.000000,9.100550,,9.085404,9.123006,0
390.000000,9.101144,,9.086075,9.123713,0
395.000000,9.101724,,9.086730,9.124404,0
400.000000,9.102290,,9.087370,9.125080,0
405.000000,9.102842,,9.087995,9.125741,0
410.000000,9.103382,,9.088605,9.126388,0
415.000000,9.103909,,9.089201,9.127022,0
420.000000,9.104424,,9.089784,9.127643,0
425.000000,9.104927,,9.090353,9.128250,0
430.000000,9.105419,,9.090910,9.128846,0
435.000000,9.105900,,9.091454,9.129430,0
440.000000,9.106370,,9.091987,9.130002,0
445.000000,9.106829,,9.092507,9.130562,0
450.000000,9.107279,,9.093017,9.131112,0
455.000000,9.107719,,9.093515,9.131651,0
460.000000,9.108150,,9.094003,9.132180,0
465.000000,9.108571,,9.094481,9.132699,0
470.000000,9.108983,,9.094948,9.133208,0
475.000000,9.109387,,9.095406,9.133708,0
480.000000,9.109782,,9.095854,9.134198,0
485.000000,9.110170,,9.096293,9.134680,0
490.000000,9.110549,,9.096724,9.135153,0
495.000000,9.110920,,9.097145,9.135617,0
500.000000,9.111284,,9.097558,9.136073,0
505.000000,9.111641,,9.097963,9.136522,0
510.000000,9.111991,,9.098360,9.136962,0
515.000000,9.112334,,9.098749,9.137395,0
520.000000,9.112669,,9.099130,9.137820,0
525.000000,9.112999,,9.099505,9.138239,0
530.000000,9.113322,,9.099871,9.138650,0
535.000000,9.113639,,9.100231,9.139054,0
540.000000,9.113950,,9.100584,9.139452,0
545.000000,9.114255,,9.100931,9.139843,0
550.000000,9.114554,,9.101271,9.140228,0
555.000000,9.114847,,9.101604,9.140607,0
560.000000,9.115135,,9.101932,9.140979,0
565.000000,9.115418,,9.102253,9.141346,0
570.000000,9.115696,,9.102569,9.141707,0
575.000000,9.115968,,9.102878,9.142062,0
580.000000,9.116236,,9.103183,9.142412,0
585.000000,9.116498,,9.103481,9.142757,0
590.000000,9.116756,,9.103775,9.143096,0
595.000000,9.117010,,9.104063,9.143430,0
600.000000,9.117258,,9.104346,9.143759,0
605.000000,9.117503,,9.104624,9.144084,0
610.000000,9.117743,,9.104897,9.144403,0
615.000000,9.117979,,9.105166,9.144718,0
620.000000,9.118211,,9.105429,9.145028,0
625.000000,9.118439,,9.105689,9.145334,0
630.000000,9.118663,,9.105944,9.145635,0
635.000000,9.118883,,9.106194,9.145933,0
640.000000,9.119099,,9.106440,9.146225,0
645.000000,9.119312,,9.106682,9.146514,0
650.000000,9.119521,,9.106921,9.146799,0
655.000000,9.119726,,9.107155,9.147080,0
660.000000,9.119929,,9.107385,9.147357,0
665.000000,9.120127,,9.107611,9.147630,0
670.000000,9.120323,,9.107834,9.147900,0
675.000000,9.120515,,9.108053,9.148166,0
680.000000,9.120704,,9.108268,9.148428,0
685.000000,9.120890,,9.108480,9.148687,0
690.000000,9.121073,,9.108689,9.148943,0
695.000000,9.121253,,9.108894,9.149195,0
700.000000,9.121431,,9.109096,9.149444,0
705.000000,9.121605,,9.109294,9.149689,0
710.000000,9.121777,,9.109490,9.149932,0
715.000000,9.121945,,9.109682,9.150171,0
720.000000,9.122112,,9.109872,9.150408,0
725.000000,9.122275,,9.110058,9.150641,0
730.000000,9.122436,,9.110241,9.150872,0
