time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.711683,6.707334,6.711683,6.711683,1
5.000000,8.191935,8.217712,8.073484,8.193375,1
10.000000,8.425616,8.425104,8.322006,8.427359,1
15.000000,8.545884,8.555852,8.450397,8.547929,1
20.000000,8.623938,8.621500,8.533954,8.626266,1
25.000000,8.680343,8.680934,8.594458,8.682937,1
30.000000,8.723757,8.732531,8.641098,8.726601,1
35.000000,8.758598,,8.678571,8.761677,0
40.000000,8.787403,,8.709579,8.790705,0
45.000000,8.811756,,8.735812,8.815269,0
50.000000,8.832705,,8.758391,8.836420,0
55.000000,8.850982,,8.778096,8.854888,0
60.000000,8.867109,,8.795489,8.871199,0
65.000000,8.881477,,8.810987,8.885743,0
70.000000,8.894382,,8.824909,8.898817,0
75.000000,8.906055,,8.837501,8.910652,0
80.000000,8.916678,,8.848959,8.921431,0
85.000000,8.926397,,8.859440,8.931300,0
90.000000,8.935330,,8.869074,8.940379,0
95.000000,8.943577,,8.877964,8.948766,0
100.000000,8.951219,,8.886199,8.956544,0
105.000000,8.958325,,8.893854,8.963780,0
110.000000,8.964952,,8.900991,8.970535,0
115.000000,8.971152,,8.907663,8.976857,0
120.000000,8.976965,,8.913917,8.982790,0
125.000000,8.982430,,8.919793,8.988371,0
130.000000,8.987579,,8.925326,8.993633,0
135.000000,8.992439,,8.930546,8.998603,0
140.000000,8.997037,,8.935479,9.003307,0
145.000000,9.001393,,8.940151,9.007767,0
150.000000,9.005527,,8.944582,9.012003,0
155.000000,9.009457,,8.948790,9.016031,0
160.000000,9.013198,,8.952793,9.019868,0
165.000000,9.016764,,8.956605,9.023528,0
170.000000,9.020168,,8.960241,9.027023,0
175.000000,9.023421,,8.963712,9.030365,0
180.000000,9.026533,,8.967030,9.033564,0
185.000000,9.029513,,8.970204,9.036630,0
190.000000,9.032371,,8.973245,9.039571,0
195.000000,9.035114,,8.976160,9.042395,0
200.000000,9.037748,,8.978958,9.045109,0
205.000000,9.040281,,8.981644,9.047720,0
210.000000,9.042718,,8.984227,9.050234,0
215.000000,9.045066,,8.986711,9.052657,0
220.000000,9.047328,,8.989102,9.054992,0
225.000000,9.049510,,8.991406,9.057246,0
230.000000,9.051616,,8.993627,9.059423,0
235.000000,9.053650,,8.995770,9.061526,0
240.000000,9.055616,,8.997838,9.063560,0
245.000000,9.057517,,8.999835,9.065528,0
250.000000,9.059357,,9.001765,9.067433,0
255.000000,9.061138,,9.003632,9.069279,0
260.000000,9.062864,,9.005437,9.071067,0
265.000000,9.064537,,9.007185,9.072802,0
270.000000,9.066159,,9.008877,9.074485,0
275.000000,9.067733,,9.010517,9.076119,0
280.000000,9.069261,,9.012107,9.077706,0
285.000000,9.070745,,9.013649,9.079248,0
290.000000,9.072187,,9.015144,9.080747,0
295.000000,9.073589,,9.016596,9.082205,0
300.000000,9.074952,,9.018005,9.083623,0
305.000000,9.076278,,9.019374,9.085004,0
310.000000,9.077569,,9.020705,9.086348,0
315.000000,9.078826,,9.021998,9.087657,0
320.000000,9.080050,,9.023255,9.088933,0
325.000000,9.081243,,9.024479,9.090177,0
330.000000,9.082406,,9.025669,9.091390,0
335.000000,9.083539,,9.026828,9.092573,0
340.000000,9.084645,,9.027956,9.093728,0
345.000000,9.085724,,9.029054,9.094855,0
350.000000,9.086777,,9.030125,9.095955,0
355.000000,9.087805,,9.031168,9.097030,0
360.000000,9.088809,,9.032185,9.098080,0
365.000000,9.089790,,9.033176,9.099106,0
370.000000,9.090748,,9.034143,9.100110,0
375.000000,9.091685,,9.035087,9.101091,0
380.000000,9.092600,,9.036008,9.102050,0
385.000000,9.093496,,9.036906,9.102989,0
390.000000,9.094372,,9.037783,9.103908,0
395.000000,9.095229,,9.038640,9.104807,0
400.000000,9.096068,,9.039477,9.105688,0
405.000000,9.096890,,9.040294,9.106550,0
410.000000,9.097694,,9.041093,9.107395,0
415.000000,9.098481,,9.041873,9.108222,0
420.000000,9.099253,,9.042636,9.109033,0
425.000000,9.100009,,9.043382,9.109828,0
430.000000,9.100749,,9.044112,9.110608,0
435.000000,9.101475,,9.044826,9.111372,0
440.000000,9.102187,,9.045524,9.112122,0
445.000000,9.102885,,9.046207,9.112857,0
450.000000,9.103570,,9.046875,9.113579,0
455.000000,9.104242,,9.047529,9.114287,0
460.000000,9.104901,,9.048170,9.114982,0
465.000000,9.105547,,9.048797,9.115664,0
470.000000,9.106182,,9.049411,9.116334,0
475.000000,9.106805,,9.050013,9.116992,0
480.000000,9.107417,,9.050602,9.117639,0
485.000000,9.108018,,9.051179,9.118274,0
490.000000,9.108608,,9.051745,9.118898,0
495.000000,9.109188,,9.052299,9.119511,0
500.000000,9.109757,,9.052842,9.120114,0
505.000000,9.110317,,9.053375,9.120706,0
510.000000,9.110867,,9.053897,9.121289,0
515.000000,9.111408,,9.054409,9.121862,0
520.000000,9.111939,,9.054911,9.122425,0
525.000000,9.112462,,9.055403,9.122980,0
530.000000,9.112976,,9.055886,9.123525,0
535.000000,9.113481,,9.056360,9.124061,0
540.000000,9.113978,,9.056825,9.124589,0
545.000000,9.114468,,9.057281,9.125109,0
550.000000,9.114949,,9.057728,9.125620,0
555.000000,9.115423,,9.058168,9.126124,0
560.000000,9.115889,,9.058599,9.126620,0
565.000000,9.116347,,9.059022,9.127108,0
570.000000,9.116799,,9.059438,9.127589,0
575.000000,9.117244,,9.059846,9.128062,0
580.000000,9.117682,,9.060246,9.128528,0
585.000000,9.118113,,9.060640,9.128988,0
590.000000,9.118537,,9.061026,9.129441,0
595.000000,9.118956,,9.061406,9.129887,0
600.000000,9.119368,,9.061779,9.130327,0
605.000000,9.119774,,9.062145,9.130760,0
610.000000,9.120174,,9.062505,9.131187,0
615.000000,9.120568,,9.062859,9.131608,0
620.000000,9.120956,,9.063207,9.132024,0
625.000000,9.121339,,9.063548,9.132433,0
630.000000,9.121717,,9.063884,9.132837,0
635.000000,9.122089,,9.064214,9.133235,0
640.000000,9.122456,,9.064539,9.133628,0
645.000000,9.122817,,9.064858,9.134015,0
650.000000,9.123174,,9.065171,9.134397,0
655.000000,9.123526,,9.065480,9.134774,0
660.000000,9.123873,,9.065783,9.135147,0
665.000000,9.124215,,9.066081,9.135514,0
670.000000,9.124553,,9.066374,9.135876,0
675.000000,9.124886,,9.066663,9.136234,0
680.000000,9.125214,,9.066946,9.136587,0
685.000000,9.125539,,9.067225,9.136935,0
690.000000,9.125859,,9.067500,9.137280,0
695.000000,9.126175,,9.067770,9.137619,0
700.000000,9.126486,,9.068036,9.137955,0
705.000000,9.126794,,9.068297,9.138286,0
710.000000,9.127098,,9.068554,9.138613,0
715.000000,9.127398,,9.068808,9.138936,0
720.000000,9.127694,,9.069057,9.139255,0
725.000000,9.127986,,9.069302,9.139571,0
730.000000,9.128275,,9.069543,9.139882,0
735.000000,9.128560,,9.069781,9.140190,0
740.000000,9.128841,,9.070015,9.140494,0
745.000000,9.129120,,9.070245,9.140794,0
750.000000,9.129394,,9.070472,9.141091,0
755.000000,9.129666,,9.070695,9.141385,0
760.000000,9.129934,,9.070914,9.141674,0
765.000000,9.130198,,9.071131,9.141961,0
770.000000,9.130460,,9.071344,9.142244,0
775.000000,9.130719,,9.071553,9.142524,0
780.000000,9.130974,,9.071760,9.142801,0
785.000000,9.131227,,9.071963,9.143075,0
790.000000,9.131476,,9.072164,9.143346,0
795.000000,9.131723,,9.072361,9.143613,0
800.000000,9.131967,,9.072555,9.143878,0
805.000000,9.132208,,9.072747,9.144140,0
810.000000,9.132446,,9.072935,9.144398,0
815.000000,9.132681,,9.073121,9.144654,0
820.000000,9.132914,,9.073304,9.144908,0
825.000000,9.133144,,9.073484,9.145158,0
830.000000,9.133372,,9.073662,9.145406,0
835.000000,9.133597,,9.073837,9.145651,0
840.000000,9.133820,,9.074009,9.145894,0
845.000000,9.134040,,9.074179,9.146134,0
850.000000,9.134258,,9.074347,9.146371,0
855.000000,9.134473,,9.074512,9.146606,0
860.000000,9.134686,,9.074674,9.146838,0
865.000000,9.134897,,9.074834,9.147069,0
870.000000,9.135105,,9.074992,9.147296,0
875.000000,9.135311,,9.075148,9.147522,0
880.000000,9.135515,,9.075301,9.147745,0
885.000000,9.135717,,9.075453,9.147966,0
890.000000,9.135917,,9.075602,9.148184,0
895.000000,9.136115,,9.075749,9.148401,0
900.000000,9.136310,,9.075893,9.148615,0
905.000000,9.136504,,9.076036,9.148827,0
910.000000,9.136695,,9.076177,9.149037,0
915.000000,9.136885,,9.076316,9.149245,0
920.000000,9.137073,,9.076452,9.149451,0
925.000000,9.137258,,9.076587,9.149655,0
930.000000,9.137442,,9.076720,9.149857,0
935.000000,9.137624,,9.076851,9.150057,0
940.000000,9.137804,,9.076981,9.150255,0
945.000000,9.137983,,9.077108,9.150451,0
950.000000,9.138159,,9.077234,9.150645,0
955.000000,9.138334,,9.077358,9.150838,0
960.000000,9.138507,,9.077480,9.151029,0
965.000000,9.138678,,9.077601,9.151218,0
970.000000,9.138848,,9.077719,9.151405,0
975.000000,9.139016,,9.077837,9.151590,0
980.000000,9.139183,,9.077952,9.151774,0
985.000000,9.139347,,9.078066,9.151956,0
990.000000,9.139511,,9.078179,9.152136,0
995.000000,9.139672,,9.078290,9.152315,0
1000.000000,9.139832,,9.078399,9.152492,0
1005.000000,9.139991,,9.078507,9.152668,0
1010.000000,9.140148,,9.078614,9.152842,0
1015.000000,9.140304,,9.078719,9.153014,0
1020.000000,9.140458,,9.078822,9.153185,0
1025.000000,9.140611,,9.078925,9.153354,0
1030.000000,9.140762,,9.079025,9.153522,0
1035.000000,9.140912,,9.079125,9.153688,0
1040.000000,9.141060,,9.079223,9.153853,0
1045.000000,9.141208,,9.079320,9.154017,0
1050.000000,9.141353,,9.079415,9.154179,0
1055.000000,9.141498,,9.079510,9.154339,0
1060.000000,9.141641,,9.079603,9.154499,0
1065.000000,9.141783,,9.079694,9.154657,0
1070.000000,9.141923,,9.079785,9.154813,0
1075.000000,9.142063,,9.079874,9.154969,0
1080.000000,9.142201,,9.079962,9.155123,0
1085.000000,9.142338,,9.080049,9.155275,0
1090.000000,9.142473,,9.080135,9.155427,0
1095.000000,9.142608,,9.080220,9.155577,0
1100.000000,9.142741,,9.080303,9.155726,0
1105.000000,9.142873,,9.080386,9.155873,0
1110.000000,9.143004,,9.080467,9.156020,0
1115.000000,9.143134,,9.080547,9.156165,0
1120.000000,9.143263,,9.080627,9.156309,0
1125.000000,9.143390,,9.080705,9.156452,0
1130.000000,9.143517,,9.080782,9.156594,0
1135.000000,9.143642,,9.080858,9.156734,0
1140.000000,9.143766,,9.080933,9.156874,0
1145.000000,9.143890,,9.081008,9.157012,0
1150.000000,9.144012,,9.081081,9.157150,0
