time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.250596,7.255657,7.250596,7.250596,1
5.000000,8.226073,8.237756,8.131764,8.224606,1
10.000000,8.435295,8.432082,8.347192,8.433884,1
15.000000,8.547478,8.537188,8.464921,8.546117,1
20.000000,8.621418,8.641218,8.543331,8.620093,1
25.000000,8.675262,8.690782,8.600845,8.673962,1
30.000000,8.716879,8.707517,8.645550,8.715598,1
35.000000,8.750356,,8.681677,8.749089,0
40.000000,8.778068,,8.711702,8.776812,0
45.000000,8.801510,,8.737190,8.800262,0
50.000000,8.821678,,8.759187,8.820435,0
55.000000,8.839268,,8.778426,8.838028,0
60.000000,8.854782,,8.795440,8.853544,0
65.000000,8.868593,,8.810624,8.867357,0
70.000000,8.880988,,8.824282,8.879753,0
75.000000,8.892189,,8.836651,8.890953,0
80.000000,8.902372,,8.847917,8.901134,0
85.000000,8.911677,,8.858233,8.910438,0
90.000000,8.920221,,8.867722,8.918980,0
95.000000,8.928099,,8.876486,8.926856,0
100.000000,8.935390,,8.884610,8.934143,0
105.000000,8.942160,,8.892166,8.940911,0
110.000000,8.948466,,8.899214,8.947213,0
115.000000,8.954357,,8.905807,8.953101,0
120.000000,8.959873,,8.911990,8.958613,0
125.000000,8.965052,,8.917801,8.963788,0
130.000000,8.969924,,8.923276,8.968656,0
135.000000,8.974517,,8.928442,8.973245,0
140.000000,8.978854,,8.933327,8.977578,0
145.000000,8.982958,,8.937955,8.981678,0
150.000000,8.986848,,8.942344,8.985563,0
155.000000,8.990539,,8.946515,8.989250,0
160.000000,8.994048,,8.950483,8.992754,0
165.000000,8.997387,,8.954263,8.996089,0
170.000000,9.000570,,8.957869,8.999267,0
175.000000,9.003607,,8.961312,9.002299,0
180.000000,9.006508,,8.964604,9.005195,0
185.000000,9.009282,,8.967755,9.007964,0
190.000000,9.011937,,8.970773,9.010615,0
195.000000,9.014481,,8.973667,9.013154,0
200.000000,9.016921,,8.976444,9.015589,0
205.000000,9.019263,,8.979112,9.017927,0
210.000000,9.021514,,8.981677,9.020172,0
215.000000,9.023677,,8.984144,9.022330,0
220.000000,9.025759,,8.986520,9.024407,0
225.000000,9.027763,,8.988809,9.026407,0
230.000000,9.029695,,8.991015,9.028333,0
235.000000,9.031557,,8.993144,9.030191,0
240.000000,9.033354,,8.995199,9.031983,0
245.000000,9.035089,,8.997184,9.033712,0
250.000000,9.036764,,8.999103,9.035383,0
255.000000,9.038384,,9.000958,9.036998,0
260.000000,9.039951,,9.002753,9.038560,0
265.000000,9.041466,,9.004490,9.040070,0
270.000000,9.042934,,9.006173,9.041533,0
275.000000,9.044355,,9.007804,9.042949,0
280.000000,9.045732,,9.009384,9.044321,0
285.000000,9.047067,,9.010917,9.045651,0
290.000000,9.048362,,9.012404,9.046941,0
295.000000,9.049618,,9.013847,9.048193,0
300.000000,9.050838,,9.015249,9.049408,0
305.000000,9.052022,,9.016610,9.050587,0
310.000000,9.053173,,9.017933,9.051733,0
315.000000,9.054291,,9.019219,9.052846,0
320.000000,9.055378,,9.020469,9.053928,0
325.000000,9.056435,,9.021686,9.054981,0
330.000000,9.057464,,9.022869,9.056004,0
335.000000,9.058464,,9.024021,9.057000,0
340.000000,9.059439,,9.025143,9.057970,0
345.000000,9.060387,,9.026236,9.058914,0
350.000000,9.061312,,9.027300,9.059833,0
355.000000,9.062212,,9.028337,9.060729,0
360.000000,9.063090,,9.029348,9.061602,0
365.000000,9.063945,,9.030334,9.062453,0
370.000000,9.064780,,9.031296,9.063283,0
375.000000,9.065594,,9.032234,9.064092,0
380.000000,9.066388,,9.033149,9.064881,0
385.000000,9.067163,,9.034042,9.065651,0
390.000000,9.067919,,9.034915,9.066403,0
395.000000,9.068658,,9.035766,9.067137,0
400.000000,9.069379,,9.036598,9.067854,0
405.000000,9.070084,,9.037410,9.068554,0
410.000000,9.070772,,9.038204,9.069238,0
415.000000,9.071445,,9.038980,9.069906,0
420.000000,9.072102,,9.039738,9.070559,0
425.000000,9.072745,,9.040480,9.071197,0
430.000000,9.073374,,9.041205,9.071822,0
435.000000,9.073989,,9.041914,9.072432,0
440.000000,9.074590,,9.042607,9.073029,0
445.000000,9.075179,,9.043286,9.073613,0
450.000000,9.075755,,9.043950,9.074184,0
455.000000,9.076318,,9.044600,9.074744,0
460.000000,9.076870,,9.045236,9.075291,0
465.000000,9.077410,,9.045859,9.075827,0
470.000000,9.077939,,9.046469,9.076351,0
475.000000,9.078458,,9.047066,9.076865,0
480.000000,9.078965,,9.047651,9.077368,0
485.000000,9.079462,,9.048225,9.077861,0
490.000000,9.079950,,9.048786,9.078344,0
495.000000,9.080427,,9.049336,9.078817,0
500.000000,9.080895,,9.049876,9.079281,0
505.000000,9.081354,,9.050404,9.079735,0
510.000000,9.081804,,9.050922,9.080181,0
515.000000,9.082245,,9.051431,9.080618,0
520.000000,9.082677,,9.051929,9.081046,0
525.000000,9.083101,,9.052417,9.081466,0
530.000000,9.083517,,9.052896,9.081878,0
535.000000,9.083926,,9.053366,9.082282,0
540.000000,9.084326,,9.053828,9.082678,0
545.000000,9.084719,,9.054280,9.083067,0
550.000000,9.085105,,9.054724,9.083449,0
555.000000,9.085484,,9.055160,9.083823,0
560.000000,9.085855,,9.055587,9.084191,0
565.000000,9.086220,,9.056007,9.084551,0
570.000000,9.086579,,9.056419,9.084906,0
575.000000,9.086930,,9.056823,9.085253,0
580.000000,9.087276,,9.057220,9.085595,0
585.000000,9.087615,,9.057610,9.085930,0
590.000000,9.087949,,9.057993,9.086259,0
595.000000,9.088276,,9.058369,9.086583,0
600.000000,9.088598,,9.058739,9.086901,0
605.000000,9.088914,,9.059102,9.087213,0
610.000000,9.089224,,9.059458,9.087519,0
615.000000,9.089530,,9.059809,9.087821,0
620.000000,9.089830,,9.060153,9.088117,0
625.000000,9.090125,,9.060491,9.088408,0
630.000000,9.090414,,9.060823,9.088693,0
635.000000,9.090699,,9.061150,9.088975,0
640.000000,9.090979,,9.061471,9.089251,0
645.000000,9.091255,,9.061787,9.089522,0
650.000000,9.091526,,9.062097,9.089789,0
655.000000,9.091792,,9.062402,9.090052,0
660.000000,9.092054,,9.062702,9.090310,0
