time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.474127,7.493914,7.474127,7.474127,1
5.000000,8.447675,8.443086,8.454919,8.451381,1
10.000000,8.630038,8.626435,8.634167,8.631943,1
15.000000,8.725285,8.721467,8.726954,8.725763,1
20.000000,8.786974,8.769175,8.786600,8.786262,1
25.000000,8.831285,8.826955,8.829148,8.829543,1
30.000000,8.865140,8.893769,8.861447,8.862488,1
35.000000,8.892098,,8.887008,8.888628,0
40.000000,8.914212,,8.907853,8.909997,0
45.000000,8.932764,,8.925240,8.927865,0
50.000000,8.948604,,8.940003,8.943073,0
55.000000,8.962321,,8.952719,8.956202,0
60.000000,8.974340,,8.963801,8.967672,0
65.000000,8.984975,,8.973557,8.977791,0
70.000000,8.994465,,8.982217,8.986794,0
75.000000,9.002994,,8.989960,8.994862,0
80.000000,9.010708,,8.996928,9.002139,0
85.000000,9.017724,,9.003234,9.008740,0
90.000000,9.024137,,9.008969,9.014756,0
95.000000,9.030024,,9.014208,9.020264,0
100.000000,9.035450,,9.019013,9.025327,0
105.000000,9.040469,,9.023435,9.029998,0
110.000000,9.045127,,9.027519,9.034321,0
115.000000,9.049463,,9.031301,9.038335,0
120.000000,9.053510,,9.034814,9.042071,0
125.000000,9.057297,,9.038084,9.045558,0
130.000000,9.060850,,9.041137,9.048820,0
135.000000,9.064189,,9.043991,9.051878,0
140.000000,9.067334,,9.046667,9.054750,0
145.000000,9.070302,,9.049178,9.057454,0
150.000000,9.073107,,9.051540,9.060003,0
155.000000,9.075764,,9.053765,9.062410,0
160.000000,9.078284,,9.055864,9.064687,0
165.000000,9.080677,,9.057847,9.066844,0
170.000000,9.082953,,9.059723,9.068889,0
175.000000,9.085120,,9.061499,9.070831,0
180.000000,9.087187,,9.063184,9.072678,0
185.000000,9.089160,,9.064784,9.074437,0
190.000000,9.091045,,9.066304,9.076112,0
195.000000,9.092849,,9.067750,9.077711,0
200.000000,9.094576,,9.069127,9.079237,0
205.000000,9.096232,,9.070440,9.080696,0
210.000000,9.097821,,9.071692,9.082091,0
215.000000,9.099346,,9.072887,9.083428,0
220.000000,9.100812,,9.074028,9.084708,0
225.000000,9.102222,,9.075120,9.085936,0
230.000000,9.103579,,9.076164,9.087114,0
235.000000,9.104887,,9.077164,9.088246,0
240.000000,9.106147,,9.078122,9.089333,0
245.000000,9.107363,,9.079041,9.090379,0
250.000000,9.108536,,9.079921,9.091385,0
255.000000,9.109669,,9.080767,9.092354,0
260.000000,9.110765,,9.081578,9.093287,0
265.000000,9.111824,,9.082358,9.094187,0
270.000000,9.112848,,9.083107,9.095055,0
275.000000,9.113840,,9.083828,9.095892,0
280.000000,9.114801,,9.084522,9.096700,0
285.000000,9.115732,,9.085189,9.097480,0
290.000000,9.116634,,9.085832,9.098234,0
295.000000,9.117510,,9.086451,9.098963,0
300.000000,9.118360,,9.087047,9.099668,0
305.000000,9.119184,,9.087622,9.100351,0
310.000000,9.119985,,9.088177,9.101011,0
315.000000,9.120764,,9.088712,9.101650,0
320.000000,9.121520,,9.089228,9.102269,0
325.000000,9.122256,,9.089726,9.102869,0
330.000000,9.122972,,9.090207,9.103451,0
335.000000,9.123668,,9.090672,9.104015,0
340.000000,9.124347,,9.091121,9.104562,0
345.000000,9.125007,,9.091555,9.105092,0
350.000000,9.125650,,9.091975,9.105607,0
355.000000,9.126277,,9.092380,9.106107,0
360.000000,9.126888,,9.092773,9.106593,0
365.000000,9.127484,,9.093152,9.107064,0
370.000000,9.128065,,9.093520,9.107523,0
375.000000,9.128632,,9.093875,9.107968,0
380.000000,9.129186,,9.094220,9.108401,0
385.000000,9.129726,,9.094553,9.108822,0
390.000000,9.130254,,9.094876,9.109231,0
395.000000,9.130769,,9.095188,9.109630,0
400.000000,9.131273,,9.095491,9.110017,0
405.000000,9.131765,,9.095785,9.110395,0
410.000000,9.132246,,9.096070,9.110762,0
415.000000,9.132716,,9.096345,9.111119,0
420.000000,9.133176,,9.096613,9.111468,0
425.000000,9.133626,,9.096872,9.111807,0
430.000000,9.134066,,9.097124,9.112137,0
435.000000,9.134497,,9.097368,9.112459,0
440.000000,9.134919,,9.097605,9.112773,0
445.000000,9.135332,,9.097834,9.113079,0
450.000000,9.135736,,9.098057,9.113377,0
455.000000,9.136132,,9.098274,9.113668,0
460.000000,9.136520,,9.098484,9.113952,0
465.000000,9.136901,,9.098688,9.114229,0
470.000000,9.137273,,9.098886,9.114499,0
475.000000,9.137638,,9.099078,9.114762,0
480.000000,9.137997,,9.099265,9.115019,0
485.000000,9.138348,,9.099446,9.115270,0
490.000000,9.138692,,9.099622,9.115515,0
495.000000,9.139030,,9.099793,9.115754,0
500.000000,9.139361,,9.099960,9.115988,0
505.000000,9.139686,,9.100121,9.116216,0
510.000000,9.140006,,9.100278,9.116438,0
515.000000,9.140319,,9.100431,9.116656,0
520.000000,9.140626,,9.100579,9.116869,0
525.000000,9.140928,,9.100723,9.117076,0
530.000000,9.141225,,9.100864,9.117279,0
535.000000,9.141516,,9.101000,9.117477,0
540.000000,9.141802,,9.101132,9.117671,0
545.000000,9.142083,,9.101261,9.117861,0
550.000000,9.142359,,9.101387,9.118046,0
555.000000,9.142631,,9.101509,9.118227,0
560.000000,9.142897,,9.101627,9.118404,0
