time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.297544,7.287903,7.297544,7.297544,1
5.000000,8.502919,8.505566,8.629914,8.501881,1
10.000000,8.681196,8.682466,8.787710,8.680495,1
15.000000,8.771521,8.771587,8.865239,8.771069,1
20.000000,8.828954,8.815013,8.913508,8.828701,1
25.000000,8.869638,8.870717,8.947126,8.869552,1
30.000000,8.900368,8.921167,8.972155,8.900426,1
35.000000,8.924596,,8.991640,8.924781,0
40.000000,8.944295,,9.007303,8.944595,0
45.000000,8.960690,,9.020205,8.961092,0
50.000000,8.974585,,9.031038,8.975082,0
55.000000,8.986536,,9.040274,8.987120,0
60.000000,8.996941,,9.048249,8.997605,0
65.000000,9.006092,,9.055211,9.006832,0
70.000000,9.014210,,9.061344,9.015021,0
75.000000,9.021467,,9.066788,9.022344,0
80.000000,9.027996,,9.071656,9.028935,0
85.000000,9.033904,,9.076033,9.034903,0
90.000000,9.039278,,9.079992,9.040333,0
95.000000,9.044188,,9.083589,9.045297,0
100.000000,9.048693,,9.086872,9.049853,0
105.000000,9.052842,,9.089879,9.054050,0
110.000000,9.056675,,9.092644,9.057931,0
115.000000,9.060229,,9.095194,9.061529,0
120.000000,9.063531,,9.097553,9.064875,0
125.000000,9.066609,,9.099742,9.067995,0
130.000000,9.069485,,9.101777,9.070911,0
135.000000,9.072177,,9.103675,9.073642,0
140.000000,9.074703,,9.105447,9.076206,0
145.000000,9.077077,,9.107106,9.078617,0
150.000000,9.079313,,9.108662,9.080889,0
155.000000,9.081422,,9.110124,9.083033,0
160.000000,9.083415,,9.111499,9.085059,0
165.000000,9.085301,,9.112795,9.086978,0
170.000000,9.087087,,9.114019,9.088797,0
175.000000,9.088783,,9.115175,9.090523,0
180.000000,9.090393,,9.116269,9.092164,0
185.000000,9.091925,,9.117306,9.093726,0
190.000000,9.093383,,9.118289,9.095213,0
195.000000,9.094774,,9.119222,9.096632,0
200.000000,9.096100,,9.120110,9.097986,0
205.000000,9.097367,,9.120954,9.099281,0
210.000000,9.098578,,9.121758,9.100518,0
215.000000,9.099737,,9.122524,9.101703,0
220.000000,9.100846,,9.123255,9.102838,0
225.000000,9.101909,,9.123953,9.103927,0
230.000000,9.102929,,9.124620,9.104971,0
235.000000,9.103907,,9.125258,9.105974,0
240.000000,9.104847,,9.125868,9.106938,0
245.000000,9.105750,,9.126452,9.107865,0
250.000000,9.106619,,9.127011,9.108757,0
255.000000,9.107455,,9.127547,9.109615,0
260.000000,9.108259,,9.128062,9.110443,0
265.000000,9.109035,,9.128556,9.111240,0
270.000000,9.109782,,9.129030,9.112009,0
275.000000,9.110502,,9.129485,9.112751,0
280.000000,9.111197,,9.129923,9.113467,0
285.000000,9.111869,,9.130343,9.114159,0
290.000000,9.112517,,9.130748,9.114828,0
295.000000,9.113143,,9.131138,9.115475,0
300.000000,9.113748,,9.131513,9.116100,0
305.000000,9.114333,,9.131874,9.116705,0
310.000000,9.114900,,9.132223,9.117291,0
