time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.871264,6.868627,6.871264,6.871264,1
5.000000,8.403835,8.407059,8.414440,8.408122,1
10.000000,8.603338,8.620245,8.609721,8.606037,1
15.000000,8.705110,8.688564,8.708457,8.706678,1
20.000000,8.770515,8.759925,8.771414,8.771176,1
25.000000,8.817351,8.831418,8.816170,8.817243,1
30.000000,8.853099,8.816277,8.850098,8.852319,1
35.000000,8.881565,,8.876937,8.880187,0
40.000000,8.904929,,8.898830,8.903011,0
45.000000,8.924548,,8.917102,8.922136,0
50.000000,8.941319,,8.932630,8.938453,0
55.000000,8.955860,,8.946019,8.952574,0
60.000000,8.968618,,8.957701,8.964941,0
65.000000,8.979923,,8.967997,8.975880,0
70.000000,8.990025,,8.977149,8.985638,0
75.000000,8.999117,,8.985344,8.994406,0
80.000000,9.007352,,8.992729,9.002335,0
85.000000,9.014853,,8.999421,9.009545,0
90.000000,9.021718,,9.005516,9.016135,0
95.000000,9.028029,,9.011092,9.022184,0
100.000000,9.033853,,9.016214,9.027759,0
105.000000,9.039249,,9.020935,9.032916,0
110.000000,9.044263,,9.025302,9.037701,0
115.000000,9.048936,,9.029353,9.042156,0
120.000000,9.053303,,9.033121,9.046313,0
125.000000,9.057396,,9.036636,9.050204,0
130.000000,9.061239,,9.039920,9.053853,0
135.000000,9.064856,,9.042998,9.057283,0
140.000000,9.068267,,9.045886,9.060513,0
145.000000,9.071490,,9.048603,9.063562,0
150.000000,9.074541,,9.051162,9.066444,0
155.000000,9.077432,,9.053576,9.069173,0
160.000000,9.080178,,9.055858,9.071761,0
165.000000,9.082789,,9.058018,9.074219,0
170.000000,9.085275,,9.060065,9.076557,0
175.000000,9.087645,,9.062007,9.078783,0
180.000000,9.089907,,9.063852,9.080905,0
185.000000,9.092069,,9.065607,9.082932,0
190.000000,9.094137,,9.067278,9.084868,0
195.000000,9.096118,,9.068870,9.086720,0
200.000000,9.098017,,9.070389,9.088494,0
205.000000,9.099839,,9.071840,9.090194,0
210.000000,9.101589,,9.073227,9.091825,0
215.000000,9.103271,,9.074553,9.093391,0
220.000000,9.104889,,9.075823,9.094896,0
225.000000,9.106447,,9.077039,9.096344,0
230.000000,9.107948,,9.078205,9.097737,0
235.000000,9.109396,,9.079324,9.099079,0
240.000000,9.110793,,9.080398,9.100373,0
245.000000,9.112141,,9.081430,9.101620,0
250.000000,9.113444,,9.082421,9.102825,0
255.000000,9.114704,,9.083375,9.103988,0
260.000000,9.115923,,9.084293,9.105111,0
265.000000,9.117102,,9.085177,9.106198,0
270.000000,9.118245,,9.086028,9.107249,0
275.000000,9.119352,,9.086848,9.108267,0
280.000000,9.120425,,9.087639,9.109252,0
285.000000,9.121466,,9.088403,9.110207,0
290.000000,9.122476,,9.089139,9.111133,0
295.000000,9.123456,,9.089850,9.112030,0
300.000000,9.124409,,9.090537,9.112901,0
305.000000,9.125334,,9.091201,9.113747,0
310.000000,9.126234,,9.091843,9.114568,0
315.000000,9.127110,,9.092463,9.115366,0
320.000000,9.127961,,9.093064,9.116141,0
325.000000,9.128790,,9.093645,9.116895,0
330.000000,9.129597,,9.094207,9.117628,0
335.000000,9.130383,,9.094752,9.118342,0
340.000000,9.131149,,9.095279,9.119036,0
345.000000,9.131896,,9.095790,9.119713,0
350.000000,9.132624,,9.096285,9.120371,0
355.000000,9.133334,,9.096766,9.121013,0
360.000000,9.134027,,9.097231,9.121639,0
365.000000,9.134703,,9.097683,9.122249,0
370.000000,9.135363,,9.098122,9.122843,0
375.000000,9.136008,,9.098547,9.123424,0
380.000000,9.136638,,9.098960,9.123990,0
385.000000,9.137254,,9.099361,9.124542,0
390.000000,9.137855,,9.099750,9.125082,0
395.000000,9.138443,,9.100128,9.125609,0
400.000000,9.139019,,9.100496,9.126124,0
405.000000,9.139581,,9.100853,9.126627,0
410.000000,9.140132,,9.101200,9.127118,0
415.000000,9.140671,,9.101538,9.127599,0
420.000000,9.141198,,9.101866,9.128069,0
425.000000,9.141715,,9.102185,9.128528,0
430.000000,9.142221,,9.102496,9.128978,0
435.000000,9.142716,,9.102798,9.129418,0
440.000000,9.143202,,9.103092,9.129848,0
445.000000,9.143677,,9.103378,9.130270,0
450.000000,9.144144,,9.103656,9.130682,0
455.000000,9.144601,,9.103927,9.131086,0
460.000000,9.145049,,9.104191,9.131482,0
465.000000,9.145489,,9.104448,9.131870,0
470.000000,9.145920,,9.104698,9.132249,0
475.000000,9.146344,,9.104942,9.132622,0
