time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,7.400684,7.380488,7.400684,7.400684,1
5.000000,7.867509,7.873036,7.415557,7.863904,1
10.000000,8.063770,8.056659,7.429773,8.061284,1
15.000000,8.184166,8.185008,7.443374,8.183202,1
20.000000,8.269245,8.274354,7.456400,8.269829,1
25.000000,8.334094,8.322213,7.468888,8.336185,1
30.000000,8.385936,8.415335,7.480871,8.389475,1
35.000000,8.428760,,7.492380,8.433690,0
40.000000,8.465000,,7.503443,8.471266,0
45.000000,8.496236,,7.514086,8.503789,0
50.000000,8.523557,,7.524334,8.532352,0
55.000000,8.547738,,7.534208,8.557732,0
60.000000,8.569351,,7.543729,8.580507,0
65.000000,8.588828,,7.552917,8.601112,0
70.000000,8.606506,,7.561788,8.619885,0
75.000000,8.622649,,7.570359,8.637094,0
80.000000,8.637468,,7.578646,8.652951,0
85.000000,8.651137,,7.586663,8.667633,0
90.000000,8.663798,,7.594422,8.681282,0
95.000000,8.675568,,7.601937,8.694019,0
100.000000,8.686547,,7.609218,8.705943,0
105.000000,8.696820,,7.616277,8.717141,0
110.000000,8.706458,,7.623124,8.727685,0
115.000000,8.715523,,7.629767,8.737639,0
120.000000,8.724069,,7.636217,8.747057,0
125.000000,8.732143,,7.642481,8.755986,0
130.000000,8.739786,,7.648567,8.764470,0
135.000000,8.747034,,7.654483,8.772543,0
140.000000,8.753919,,7.660235,8.780240,0
145.000000,8.760470,,7.665831,8.787588,0
150.000000,8.766712,,7.671276,8.794615,0
155.000000,8.772667,,7.676576,8.801343,0
160.000000,8.778356,,7.681737,8.807793,0
165.000000,8.783798,,7.686764,8.813984,0
170.000000,8.789009,,7.691663,8.819934,0
175.000000,8.794004,,7.696437,8.825657,0
180.000000,8.798798,,7.701092,8.831168,0
185.000000,8.803402,,7.705631,8.836480,0
190.000000,8.807829,,7.710059,8.841604,0
195.000000,8.812088,,7.714380,8.846552,0
200.000000,8.816190,,7.718597,8.851334,0
205.000000,8.820143,,7.722713,8.855958,0
210.000000,8.823956,,7.726733,8.860434,0
215.000000,8.827636,,7.730659,8.864768,0
220.000000,8.831190,,7.734494,8.868969,0
225.000000,8.834625,,7.738242,8.873042,0
230.000000,8.837947,,7.741905,8.876995,0
235.000000,8.841161,,7.745485,8.880833,0
240.000000,8.844273,,7.748986,8.884562,0
245.000000,8.847287,,7.752410,8.888186,0
250.000000,8.850208,,7.755758,8.891711,0
255.000000,8.853041,,7.759034,8.895141,0
260.000000,8.855790,,7.762239,8.898479,0
265.000000,8.858458,,7.765376,8.901731,0
270.000000,8.861048,,7.768447,8.904900,0
275.000000,8.863565,,7.771453,8.907988,0
280.000000,8.866010,,7.774396,8.911000,0
285.000000,8.868388,,7.777278,8.913939,0
290.000000,8.870701,,7.780101,8.916807,0
295.000000,8.872952,,7.782866,8.919607,0
