time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.534729,6.555394,6.534729,6.534729,1
5.000000,7.781365,7.783578,7.234149,7.780034,1
10.000000,8.096996,8.077737,7.643554,8.095977,1
15.000000,8.254382,8.256136,7.849969,8.253535,1
20.000000,8.356111,8.363137,7.980470,8.355389,1
25.000000,8.429844,8.421260,8.073795,8.429223,1
30.000000,8.486905,8.475183,8.145435,8.486372,1
35.000000,8.532991,,8.202992,8.532535,0
40.000000,8.571350,,8.250727,8.570965,0
45.000000,8.604004,,8.291252,8.603683,0
50.000000,8.632288,,8.326280,8.632026,0
55.000000,8.657128,,8.356991,8.656923,0
60.000000,8.679194,,8.384228,8.679042,0
65.000000,8.698982,,8.408619,8.698879,0
70.000000,8.716868,,8.430636,8.716813,0
75.000000,8.733147,,8.450650,8.733137,0
80.000000,8.748051,,8.468950,8.748086,0
85.000000,8.761768,,8.485771,8.761845,0
90.000000,8.774451,,8.501303,8.774568,0
95.000000,8.786225,,8.515704,8.786381,0
100.000000,8.797197,,8.529104,8.797390,0
105.000000,8.807453,,8.541615,8.807683,0
110.000000,8.817071,,8.553330,8.817336,0
115.000000,8.826113,,8.564328,8.826413,0
120.000000,8.834636,,8.574680,8.834969,0
125.000000,8.842688,,8.584445,8.843054,0
130.000000,8.850311,,8.593675,8.850708,0
135.000000,8.857542,,8.602416,8.857970,0
140.000000,8.864413,,8.610710,8.864871,0
145.000000,8.870953,,8.618591,8.871440,0
150.000000,8.877188,,8.626092,8.877704,0
155.000000,8.883142,,8.633242,8.883685,0
160.000000,8.888833,,8.640065,8.889404,0
165.000000,8.894282,,8.646585,8.894879,0
170.000000,8.899504,,8.652823,8.900128,0
175.000000,8.904514,,8.658797,8.905164,0
180.000000,8.909327,,8.664525,8.910002,0
185.000000,8.913956,,8.670023,8.914655,0
190.000000,8.918410,,8.675303,8.919133,0
195.000000,8.922701,,8.680380,8.923448,0
200.000000,8.926839,,8.685266,8.927609,0
205.000000,8.930831,,8.689970,8.931624,0
210.000000,8.934687,,8.694504,8.935503,0
215.000000,8.938414,,8.698877,8.939252,0
