time_s,pH_ground_truth,pH_prefix,pH_ml_forecast,pH_fit_forecast,is_prefix
0.000000,6.932501,6.934872,6.932501,6.932501,1
5.000000,8.575953,8.560094,8.669191,8.577997,1
10.000000,8.748213,8.744830,8.822984,8.749241,1
15.000000,8.833161,8.840057,8.897030,8.833491,1
20.000000,8.886367,8.873358,8.942576,8.886154,1
25.000000,8.923655,8.903783,8.974015,8.922993,1
30.000000,8.951585,8.910503,8.997255,8.950539,1
35.000000,8.973453,,9.015240,8.972073,0
40.000000,8.991130,,9.029625,8.989454,0
45.000000,9.005767,,9.041421,9.003824,0
50.000000,9.018118,,9.051287,9.015933,0
55.000000,9.028700,,9.059669,9.026294,0
60.000000,9.037881,,9.066885,9.035270,0
65.000000,9.045930,,9.073166,9.043131,0
70.000000,9.053052,,9.078684,9.050077,0
75.000000,9.059403,,9.083572,9.056262,0
80.000000,9.065104,,9.087933,9.061808,0
85.000000,9.070252,,9.091847,9.066811,0
90.000000,9.074927,,9.095380,9.071348,0
95.000000,9.079192,,9.098584,9.075482,0
100.000000,9.083100,,9.101504,9.079265,0
105.000000,9.086694,,9.104175,9.082740,0
110.000000,9.090012,,9.106627,9.085944,0
115.000000,9.093084,,9.108886,9.088907,0
120.000000,9.095937,,9.110974,9.091655,0
125.000000,9.098594,,9.112908,9.094212,0
130.000000,9.101075,,9.114705,9.096596,0
135.000000,9.103397,,9.116378,9.098825,0
140.000000,9.105575,,9.117939,9.100912,0
145.000000,9.107622,,9.119400,9.102871,0
150.000000,9.109549,,9.120768,9.104713,0
155.000000,9.111367,,9.122053,9.106449,0
160.000000,9.113084,,9.123260,9.108086,0
165.000000,9.114709,,9.124398,9.109634,0
170.000000,9.116250,,9.125470,9.111098,0
175.000000,9.117712,,9.126484,9.112486,0
180.000000,9.119101,,9.127442,9.113804,0
185.000000,9.120423,,9.128349,9.115055,0
190.000000,9.121682,,9.129209,9.116245,0
195.000000,9.122882,,9.130025,9.117379,0
200.000000,9.124029,,9.130800,9.118460,0
205.000000,9.125125,,9.131538,9.119491,0
210.000000,9.126173,,9.132239,9.120476,0
215.000000,9.127176,,9.132908,9.121418,0
220.000000,9.128138,,9.133545,9.122319,0
225.000000,9.129060,,9.134154,9.123182,0
230.000000,9.129946,,9.134735,9.124009,0
235.000000,9.130796,,9.135290,9.124802,0
240.000000,9.131614,,9.135821,9.125563,0
245.000000,9.132401,,9.136330,9.126295,0
250.000000,9.133158,,9.136816,9.126997,0
255.000000,9.133888,,9.137283,9.127673,0
260.000000,9.134592,,9.137730,9.128324,0
265.000000,9.135270,,9.138159,9.128950,0
270.000000,9.135925,,9.138571,9.129554,0
275.000000,9.136557,,9.138967,9.130135,0
280.000000,9.137168,,9.139347,9.130696,0
285.000000,9.137759,,9.139712,9.131237,0
290.000000,9.138330,,9.140063,9.131760,0
295.000000,9.138883,,9.140402,9.132265,0
300.000000,9.139418,,9.140727,9.132753,0
305.000000,9.139937,,9.141041,9.133224,0
310.000000,9.140439,,9.141342,9.133680,0
